parent,child,products_in_child
Electronics,"Tablet Keyboards, Stands, & Styluses",0
Electronics,Fall Outlet Event in Computers & Accessories,0
Electronics,Samsung Tablet Accessories,6
Electronics,iPad Pro Accessories,1
Electronics,HP,0
Electronics,Bluetooth,0
Electronics,Buy Samsung at as low as 0% APR,3
Electronics,Midland Two-Way & Emergency Radios,1
Electronics,Must-Have Gadgets for Summer Travel,1
Electronics,Free Photo Book,2
Electronics,Cell Phones & Accessories,12
Electronics,Vivitar,0
Electronics,Home Theater Projectors,1
Electronics,Samsung,0
Electronics,Sony,0
Electronics,Midland Dynamic Coop,2
Electronics,Dell Accessories,0
Electronics,Computers and Accessories Quantity Pricing,4
Electronics,Logitech Universal Remotes,1
Electronics,Sound Storm Dynamic Coop,3
Electronics,PC Products,0
Electronics,Wearable Technology: Fitness & Wellness,5
Electronics,OnePlus,4
Electronics,Apple Bands,1
Electronics,Gifts for Dads & Grads in Electronics,5
Electronics,Wearable Technology,110
Electronics,New in Electronics,5
Electronics,Protective Tablet Accessories,0
Electronics,Deal of the Day: Up to 50% Off Select Tech Accessories,1
Electronics,Bestselling Renewed Home Entertainment,2
Electronics,SteelSeriesBD,0
Electronics,Power Accessories,71
Electronics,Renewed Phones,1
Electronics,"Big Markdowns in TV, Video & Audio",2
Electronics,Pyle Electronics Holiday Savings,1
Electronics,Premium TV & Audio,3
Electronics,Heavy Items,11
Electronics,Emerging Technologies,1
Electronics,Gaming Accessories,0
Electronics,Electronics Gift Guide - Top Tech for Gifting,4
Electronics,ASUS PC,0
Electronics,Dell Monitor Promotion,2
Electronics,Deep Discounts in Car Electronics and GPS & Navigation,1
Electronics,Featured iPad Accessories,2
Electronics,TomTom Dynamic Coop,1
Electronics,Belkin Dynamic Coop,1
Electronics,Kodak,0
Electronics,Electronics Warranties,2283
Electronics,Western Digital,0
Electronics,Amazon Locker Eligible Camera Products,16
Electronics,Select Favorites in Computer Accessories,1
Electronics,Pentax,0
Electronics,Tablet PCs,5
Electronics,Sennheiser Mics & Instrument Sets,1
Electronics,"Wearable Technology: Family, Kids & Pets",3
Electronics,Sony PC,0
Electronics,Portable Audio & Video,238
Electronics,samsung_tradein,461
Electronics,GoPro Accessories,1
Electronics,Radio & Clock Stocking Stuffers,1
Electronics,Electronics $5 Store,1
Electronics,LG,1
Electronics,Televisions,229
Electronics,PC Part Finder,22
Electronics,Touchscreen Laptops,4
Electronics,Acer Laptops & Desktops Event,1
Electronics,Home Audio Outlet,1
Electronics,Mother's Day Gifts in Electronics Accessories,1
Electronics,Traditional Camcorders,1
Electronics,Kids Character Cameras,3
Electronics,Accessories & Supplies,135
Electronics,Gifts,17
Electronics,"Deep Discounts in Camera, Photo & Video",6
Electronics,"FREE Two-Day Shipping in Camera, Photo & Video",19
Electronics,Tech Accessories for Dads & Grads,0
Electronics,Service Plans,100
Electronics,Valentine's Day,1
Electronics,Wearable Technology: Wearables for Babies & Kids,1
Electronics,Olympus,0
Electronics,Laptop Travel Accessories,1
Electronics,2 in 1 PCs,0
Electronics,"Headphones, Earbuds & Accessories",260
Electronics,Boston Acoustics Speakers,1
Electronics,Electronics Holiday Shopping,2
Electronics,Video Game Consoles & Accessories,5
Electronics,Nokia Lumia 635 DOTD,1
Electronics,"New Year, New Tech Gear Electronics On the Go",3
Electronics,TV Accessories - Home,1
Electronics,Pioneer Elite,1
Electronics,June Audio Month Featured Deals,3
Electronics,2014 Samsung Holiday TV Deals,2
Electronics,Amazon Unlimited Storage + Laptop Promotion,2
Electronics,iPad Air Accessories,1
Electronics,Bounceback,2
Electronics,New iPod Accessories,2
Electronics,Home Audio,136
Electronics,Back to School Tech Accessories,0
Electronics,Pyle,18
Electronics,PC Gaming & Accessories,0
Electronics,Computer Accessories & Peripherals Deal of the Day,1
Electronics,Toshiba,1
Electronics,Innovative Gadget Gifts for Techies,2
Electronics,iPad mini Accessories,0
Electronics,Hero Quick Promotion,8
Electronics,Metra Dynamic Coop,2
Electronics,Qualifying Audible Devices,1
Electronics,Headphones & Components,1
Electronics,eBook Readers & Accessories,51
Electronics,Computers & Accessories Overstock Event,2
Electronics,Devices with Enhanced Amazon Instant Video Viewing Experience,1
Electronics,Electronics Top Holiday Deals,17
Electronics,Free One Day Shipping | Mobile Electronics,1
Electronics,SkullcandyHeadphones,1
Electronics,Wearable Technology: Smart Tracking,2
Electronics,Summer Road Trip-Electronics On the Go,2
Electronics,Bestselling Renewed Smartphones,10
Electronics,Electronics Emergency Preparedness,6
Electronics,Video Projectors,1707
Electronics,iPad Accessory Starter Kit,0
Electronics,Social Photography,8
Electronics,Nexus Tablet Accessories,9
Electronics,Portable Audio Spring Outlet,1
Electronics,Nikon,0
Electronics,Amazon Cloud Drive T&C Offer,28
Electronics,Samsung Gift Ideas,1
Electronics,4th of July Deals 2013-Electronics On the Go,6
Electronics,"30% off on Caseology iPhone Cases for iPhone X, iPhone 8/7 and iPhone 8Plus/7Plus Smartphones",1
