parent,child,parent_type,child_type
Electronics,Qualifying Audible Devices,INTERMEDIATE,TRUE_LEAF
Electronics,Cool & Quirky Tech Accessories,INTERMEDIATE,TRUE_LEAF
Electronics,Sound Storm Dynamic Coop,INTERMEDIATE,TRUE_LEAF
Electronics,3P ASINs 1400,INTERMEDIATE,TRUE_LEAF
Electronics,Computers & Accessories,INTERMEDIATE,INTERMEDIATE
Electronics,Olympus,INTERMEDIATE,PURE_PARENT
Electronics,SkullcandyHeadphones,INTERMEDIATE,TRUE_LEAF
Electronics,Electronics International Versions,INTERMEDIATE,TRUE_LEAF
Electronics,Car & Vehicle Electronics,INTERMEDIATE,INTERMEDIATE
Electronics,samsung_tradein,INTERMEDIATE,TRUE_LEAF
Electronics,June Audio Month Featured Deals,INTERMEDIATE,TRUE_LEAF
Electronics,New Intel Powered ASUS Tablets,INTERMEDIATE,TRUE_LEAF
Electronics,Meet Windows 8,INTERMEDIATE,PURE_PARENT
Electronics,Scosche,INTERMEDIATE,TRUE_LEAF
Electronics,Service Plans,INTERMEDIATE,INTERMEDIATE
Electronics,Portable Electronics for Mother's Day,INTERMEDIATE,PURE_PARENT
Electronics,Apple Bands,INTERMEDIATE,TRUE_LEAF
Electronics,Vivitar,INTERMEDIATE,PURE_PARENT
Electronics,Pyle Electronics Father's Day Deals,INTERMEDIATE,PURE_PARENT
Electronics,PC Gaming & Accessories,INTERMEDIATE,PURE_PARENT
Electronics,Contour,INTERMEDIATE,PURE_PARENT
Electronics,Computer Accessories & Peripherals Deal of the Day,INTERMEDIATE,TRUE_LEAF
Electronics,iPad mini Accessories,INTERMEDIATE,PURE_PARENT
Electronics,Amazon Locker Eligible Camera Products,INTERMEDIATE,TRUE_LEAF
Electronics,JVC,INTERMEDIATE,PURE_PARENT
Electronics,Pioneer Elite,INTERMEDIATE,TRUE_LEAF
Electronics,Devices with Enhanced Amazon Instant Video Viewing Experience,INTERMEDIATE,TRUE_LEAF
Electronics,Truck & RV Electronics Store,INTERMEDIATE,TRUE_LEAF
Electronics,Buy Samsung at as low as 0% APR,INTERMEDIATE,TRUE_LEAF
Electronics,Home Audio,INTERMEDIATE,INTERMEDIATE
Electronics,Star Wars Day Tech Gadgets,INTERMEDIATE,TRUE_LEAF
Electronics,"Wearable Technology: Family, Kids & Pets",INTERMEDIATE,TRUE_LEAF
Electronics,Electronics $5 Store,INTERMEDIATE,TRUE_LEAF
Electronics,Cell Phones & Accessories,INTERMEDIATE,TRUE_LEAF
Electronics,Wearable Technology,INTERMEDIATE,INTERMEDIATE
Electronics,Headphones & Components,INTERMEDIATE,TRUE_LEAF
Electronics,Lenses,INTERMEDIATE,INTERMEDIATE
Electronics,Emerging Technologies,INTERMEDIATE,TRUE_LEAF
Electronics,Hero Quick Promotion,INTERMEDIATE,TRUE_LEAF
Electronics,"Tablet Keyboards, Stands, & Styluses",INTERMEDIATE,PURE_PARENT
Electronics,Nokia Lumia 635 DOTD,INTERMEDIATE,TRUE_LEAF
