category,type,direct_products,subtree_products,num_children,pct_direct
Electronics,INTERMEDIATE,2,1965742,206,0.0001017427515920197
Computers & Accessories,INTERMEDIATE,1225,560289,11,0.2186371676045755
Service Plans,INTERMEDIATE,100,330687,2,0.03024007596307082
Warranties & Services,INTERMEDIATE,1,330607,2,0.00030247393430871095
Portable Audio & Video,INTERMEDIATE,238,139631,13,0.17044925553781037
Accessories,INTERMEDIATE,746,128182,47,0.5819849900922126
Camera & Photo,INTERMEDIATE,1169,115377,14,1.0132002045468333
Television & Video,INTERMEDIATE,168,86940,14,0.1932367149758454
Security & Surveillance,INTERMEDIATE,441,83815,7,0.5261588021237249
CB & Two-Way Radios,INTERMEDIATE,80,81297,3,0.09840461517645177
Computer Accessories & Peripherals,INTERMEDIATE,292,64651,18,0.4516558135218326
Laptop Accessories,INTERMEDIATE,286,55877,13,0.5118385024249691
Tablet Accessories,INTERMEDIATE,1822,48725,7,3.7393535146228833
MP3 & MP4 Player Accessories,INTERMEDIATE,391,48641,10,0.8038486050862441
"Headphones, Earbuds & Accessories",INTERMEDIATE,260,43260,6,0.6010171058714748
"GPS, Finders & Accessories",INTERMEDIATE,39,36201,6,0.10773183061241402
Car & Vehicle Electronics,INTERMEDIATE,236,35883,4,0.6576930579940362
Home Audio,INTERMEDIATE,136,35694,7,0.3810164173250406
GPS System Accessories,INTERMEDIATE,147,34010,7,0.4322258159364893
"Bags, Cases & Sleeves",INTERMEDIATE,1233,31401,8,3.9266265405560334
Accessories & Supplies,INTERMEDIATE,135,26821,7,0.5033369374743671
Computer Components,INTERMEDIATE,134,22356,6,0.5993916621935945
Vehicle Electronics Accessories,INTERMEDIATE,85,21142,5,0.4020433260807871
Cases,INTERMEDIATE,20168,20183,3,99.92568002774613
Home Audio Accessories,INTERMEDIATE,69,19564,8,0.3526886117358413
Audio & Video Accessories,INTERMEDIATE,687,19029,11,3.610279047769194
Amazon Device Accessories,INTERMEDIATE,20,16762,12,0.11931750387781888
Internal Components,INTERMEDIATE,2160,16193,13,13.339097140739826
Headphones & Earbuds,INTERMEDIATE,1068,15577,4,6.856262438210182
Cables & Accessories,INTERMEDIATE,46,14313,2,0.32138615244882274
Wearable Technology,INTERMEDIATE,110,14295,7,0.7694998251136761
Cables & Interconnects,INTERMEDIATE,588,14266,15,4.121687929342492
Car Electronics,INTERMEDIATE,129,13603,3,0.9483202234801147
Batteries & Chargers,INTERMEDIATE,53,12474,4,0.42488375821709157
Arm & Wristband Accessories,INTERMEDIATE,2201,11788,3,18.67153036986766
eBook Readers & Accessories,INTERMEDIATE,51,11587,10,0.440148442219729
Computers & Tablets,INTERMEDIATE,231,10662,3,2.1665728756330895
