key,frequency,unique_products,coverage_pct
Date First Available,327558,327558,94.06
Item Weight,311693,311693,89.51
Manufacturer,301659,301659,86.63
Brand,283397,283397,81.38
Item model number,261108,261108,74.98
Product Dimensions,219300,219300,62.98
Is Discontinued By Manufacturer,195970,195970,56.28
Best Sellers Rank,195390,195390,56.11
Color,174594,174594,50.14
Compatible Devices,125847,125847,36.14
Package Dimensions,99626,99626,28.61
Special Feature,99488,99488,28.57
Connectivity Technology,80892,80892,23.23
Item Dimensions  LxWxH,52426,52426,15.06
Form Factor,50079,50079,14.38
Country of Origin,48231,48231,13.85
Item Dimensions LxWxH,48215,48215,13.85
Material,46812,46812,13.44
Batteries,46471,46471,13.34
Connector Type,43136,43136,12.39
Model Name,42488,42488,12.20
Screen Size,32741,32741,9.40
Standing screen display size,28783,28783,8.27
Other display features,28559,28559,8.20
Unit Count,24577,24577,7.06
Recommended Uses For Product,23713,23713,6.81
Mounting Type,23606,23606,6.78
Voltage,23218,23218,6.67
Special features,21909,21909,6.29
Operating System,21613,21613,6.21
Power Source,21522,21522,6.18
Included Components,21285,21285,6.11
Series,21180,21180,6.08
Connector Gender,20471,20471,5.88
Hardware Platform,19893,19893,5.71
Cable Type,19845,19845,5.70
Hardware Interface,18315,18315,5.26
Style,17223,17223,4.95
Shell Type,17137,17137,4.92
Memory Storage Capacity,17063,17063,4.90
Compatible Phone Models,16913,16913,4.86
Department,16165,16165,4.64
Number Of Items,15788,15788,4.53
RAM,15750,15750,4.52
Shape,14769,14769,4.24
Hard Drive,14082,14082,4.04
Number of Items,13926,13926,4.00
Computer Memory Type,13201,13201,3.79
Brand Name,12682,12682,3.64
Wireless Type,12112,12112,3.48
Wattage,12024,12024,3.45
Number of Processors,11815,11815,3.39
Processor Brand,10999,10999,3.16
Processor,10897,10897,3.13
Speaker Type,10757,10757,3.09
Graphics Coprocessor,10668,10668,3.06
Language,10237,10237,2.94
Hard Drive Interface,9981,9981,2.87
Chipset Brand,9966,9966,2.86
Battery Cell Composition,9932,9932,2.85
Indoor/Outdoor Usage,9843,9843,2.83
Flash Memory Size,9808,9808,2.82
Video Capture Resolution,9681,9681,2.78
Memory Speed,9497,9497,2.73
Max Screen Resolution,9457,9457,2.72
Connectivity technologies,9341,9341,2.68
Flash Memory Type,9283,9283,2.67
Age Range (Description),9222,9222,2.65
CPU Model,9210,9210,2.64
Size,9195,9195,2.64
Input Voltage,9115,9115,2.62
Data Transfer Rate,9033,9033,2.59
Card Description,9010,9010,2.59
Number of Batteries,8506,8506,2.44
Ram Memory Installed Size,8497,8497,2.44
Batteries Required?,8396,8396,2.41
Hard Disk Size,8365,8365,2.40
Specific Uses For Product,8339,8339,2.39
Specification Met,7872,7872,2.26
Screen Resolution,7853,7853,2.26
Number of USB 2.0 Ports,7573,7573,2.17
Color Name,7533,7533,2.16
Part Number,7411,7411,2.13
Special Features,7387,7387,2.12
Lens Type,7383,7383,2.12
Whats in the box,7350,7350,2.11
Wireless Communication Technology,7203,7203,2.07
Manufacturer Part Number,6724,6724,1.93
Water Resistance Level,6450,6450,1.85
Package Type,6392,6392,1.84
Speakers Maximum Output Power,6269,6269,1.80
Display Resolution Maximum,6219,6219,1.79
Resolution,6193,6193,1.78
Controller Type,6077,6077,1.75
Are Batteries Included,5842,5842,1.68
Compatible Mountings,5805,5805,1.67
Display Type,5749,5749,1.65
