title,price,average_rating,rating_number,connectivity,value_score
AirPods Soft TPU Case for Airpods 2 Cover Portable Cute Butterfly in Music Airpod Case Accessories Kits for Apple AirPods 1 & 2 Protective Shockproof Case with Keychain (Blue Pink Butterfly),0.99,4.6,165,Unknown,0.21475054229934926
I'EXCEL 8 Replacement Ear Hook Compatible with Samsung Hm1300 Hm1900 Hm3300 Hm6000 for Bluetooth Headsets- Clear,1.99,4.1,241,Wireless,0.4841849148418492
"MJIYA Reusable Cord Organizer Keeper Holder, Fastening Cable Ties Straps for Earbud Headphones Phones Electronics Electrical Computer PC Wire wrap Management (14.5X500mm)",3.71,4.8,16,Wired,0.7713097713097714
SoftRound 24 Pack Foam Earbud Earpad Ear Bud Pad Replacement Sponge Covers for iPod iPhone Itouch Ipad Headsets T-017-24P,3.25,4.2,2665,Unknown,0.7719714964370546
"6ft 3.5mm Right Angle Cable, GearIT Pro Series Premium Gold Plated 6 Feet 3.5mm Right Angle Auxiliary Audio Stereo Male to Male Cable for Headphones, Car Stereo, iPods, iPhone, Black",3.5,4.5,37,Wired,0.7760532150776054
"MJIYA Reusable Cord Organizer Keeper Holder, Fastening Cable Ties Straps for Earbud Headphones Phones Electronics Electrical Computer PC Wire wrap Management (Black)",3.69,4.6,295,Wired,0.8004338394793927
"Compatible with Airpods 1&2 Cases, Soft Cute Unique Funny Cool Cook Air pods Case Fashion Durable Protective Skin, Portable Storage Bag Carrying Case Keychain Girls Teens Kids Cases",3.66,4.5,1742,Unknown,0.8115299334811531
"GUH Green AirPods Case Cover, Full Protection, Glows in The Dark, Made of Special Safety Silicone.(Green)",3.5,4.3,630,Unknown,0.8120649651972158
SoftRound 24 Pack Foam Earbud Earpad Ear Bud Pad Replacement Sponge Covers for iPod iPhone Itouch Ipad Headsets T-017-24P,3.45,4.2,2653,Unknown,0.819477434679335
"Blacell 3.5mm / 1/8"""" To 6.3mm / 1/4"""" Stereo Headphone Adapter",3.68,4.4,938,Unknown,0.8344671201814059
Oksdown Cable Tie Reusable Black 50 Pack Straps Adjustable Releasable Extension Hook and Loop Tidy Wraps for Headphones HDMI Ethernet Printers Laptops USB Data Cables,3.99,4.7,1300,Wired,0.8471337579617835
"Artibox Cartoon Case Compatible with Airpod 1st/2nd Generation, 3D Kawaii Shockproof Protective Case Cover with Cute Keychain Best Gift for Women Girls Kids (SDQ-Blue)",3.99,4.6,652,Unknown,0.8655097613882865
"KRK 1/8"" to 1/4"" Screw-In Headphone Adapter",4.0,4.6,129,Unknown,0.8676789587852496
"FAAEAL 15 Pairs Replacement Ear Tips for Ear Buds Headsets Earphones Accessories,Soft Foam Earbuds Eartips,Earpads Ear Bud Pad Cushions Replace Sponge Covers for Diameter 15mm-20mm Headphones(Black)",3.75,4.3,153,Unknown,0.8700696055684456
Studio1.0 Replacement Top Headband Foam Cushion Pad Repair Parts Compatible with Beats Studio 1.0 Studio1 (1st Gen) Wired Studio1.0 Wireless Over-Ear Headphone(Black),3.99,4.5,227,Wireless,0.8847006651884701
"MJIYA Reusable Cord Organizer Keeper Holder, Fastening Cable Ties Straps for Earbud Headphones Phones Electronics Electrical Computer PC Wire wrap Management (10x150mm, Black) (Small, Black)",4.24,4.7,33,Wired,0.9002123142250531
"Blacell 3.5mm / 1/8"""" To 6.3mm / 1/4"""" Stereo Headphone Adapter",3.99,4.4,1042,Unknown,0.9047619047619048
"KINPS Auxiliary Audio Cable 3.5mm Aux Cord Stereo Jack Male to Male Aux Cable for Phones, Headphones, Speakers, Tablets, PCs, MP3 Players and More (10FT/3M, Gray)",4.19,4.6,3949,Wired,0.908893709327549
20 Pieces Silicon Replacement Earbuds Tips Cover Ear Gels Buds for Samsung Galaxy Note 5te 7/S7/S6/S6 Edge Earbuds,4.2,4.4,343,Unknown,0.9523809523809524
"Monoprice Audio/Stereo Cable - 6 Feet - Black | 3.5mm Stereo Plug/2 RCA Jack, Mp3 Player/Phone Headphone Output to Home Audio System",4.48,4.6,3314,Wired,0.9718004338394796
