parent_asin,title,price,average_rating,rating_number,price_segment,rating_category,popularity_score,potential_brand,price_per_rating
B018JN8B9G,Novpeak 16G CZ Gem Clear Crystal Stainless Steel Star/Love / Square/Round Shape Tragus Lip Labret Rings Monroe Ear Cartilage Studs Earrings Body Piercing Jewelry for Women Girls (4 pcs),,3.9,81,,Average (3.5-4),0.2900463815169655,Novpeak,
B018JO21BE,bestseller2016 10pcs SMA RF Coax Connector Male Plug Crimp for RG58 RG142 Cable New,7.99,3.7,43,Budget (<$20),Average (3.5-4),0.2700243502964069,bestseller2016,2.1536388140161726
B018JR10LS,Silver Edition 15.5 x 21mm [704] c,,4.7,27,,Excellent (4.5-5),0.3700150739930138,Silver,
B018JR74S6,iON Camera SnapCam Wearable HD Camera with Wi-Fi and Bluetooth (White),,2.6,53,,Poor (<3),0.1600301479860276,iON,
B018JRPLUY,"JETech Bluetooth Keyboard Case for iPad Pro 12.9"" (2015 Model ONLY), 360 Degree Rotation, Multi-Angel Stand",,3.8,438,,Average (3.5-4),0.28025335903642395,JETech,
B018JRSY5I,BXQINLENX 4020 Dc12v 0.12amaxQuiet Brushless Cooling Fan Miniature Cooling Fans 40x40X20mm 5 Blade,,3.8,15,,Average (3.5-4),0.28000811676546894,BXQINLENX,
B018JU3AOA,BXQINLENX 4010 Dc12v Quiet Brushless Cooling Fan Miniature Cooling Fans 2pin 40x40mm 9 Blade,,3.8,23,,Average (3.5-4),0.2800127549171655,BXQINLENX,
B018JWCX8M,"MP1584EN,Honbay® 6 Pack MP1584EN Ultra Small DC-DC 3A Power Step-Down Adjustable Module Buck Converter 24V to 12v 9V 5V 3V",7.69,4.1,43,Budget (<$20),Good (4-4.5),0.3100243502964069,"MP1584EN,Honbay®",1.8710462287104626
B018JWEV8W,BXQINLENX 5015 Dc12v Quiet Brushless Cooling Fan Miniature Cooling Fans 2pin 50x50X15mm 7 Blade,,3.7,12,,Average (3.5-4),0.27000637745858275,BXQINLENX,
B018JXPI4M,SIKAICASE SK012-88 Patent The New Apple TV 4Gen Siri Remote Case Non-Slip-Grip & Secure for Apple TV Siri Remote Ergonomic Design Dustproof Silicone Case - Black,,3.6,36,,Average (3.5-4),0.26002029191367243,SIKAICASE,
B018JYHB2S,"EVGA Supernova 750 T2, 80+ Titanium 750W, Fully Modular, ECO Mode, 10 Year Warranty, Includes Free Power On Self Tester, Power Supply 220-T2-0750-X1",,4.7,8,,Excellent (4.5-5),0.37000405838273454,EVGA,
B018JYMD4Y,"FintieCase Silicone Case for Amazon Fire (Previous 5th Generation, 2015) - [Honey Comb Series] [Kids Friendly] Light Weight Anti Slip Shockproof Back Cover (NOT Fit All-New Fire 7 2017), Magenta",,4.3,122,,Good (4-4.5),0.3300701520444103,FintieCase,
B018JYMEFW,"KFK Headphone Adapter & Splitter, Headphone Jack Audio & Charge Connector Splitter Calling/Charger/Music/Remote Control for iP7/7 plus/8/8 Plus/X/XS/XR",,4.3,199,,Good (4-4.5),0.3301147942544896,KFK,
