category,direct,via_children,total_subtree,num_children,pct_direct
Electronics,2,1965740,1965742,206,0.0001017427515920197
Computers & Accessories,1225,559064,560289,11,0.2186371676045755
Service Plans,100,330587,330687,2,0.03024007596307082
Warranties & Services,1,330606,330607,2,0.00030247393430871095
Portable Audio & Video,238,139393,139631,13,0.17044925553781037
Accessories,746,127436,128182,47,0.5819849900922126
Camera & Photo,1169,114208,115377,14,1.0132002045468333
Television & Video,168,86772,86940,14,0.1932367149758454
Security & Surveillance,441,83374,83815,7,0.5261588021237249
CB & Two-Way Radios,80,81217,81297,3,0.09840461517645177
Computer Accessories & Peripherals,292,64359,64651,18,0.4516558135218326
Laptop Accessories,286,55591,55877,13,0.5118385024249691
Tablet Accessories,1822,46903,48725,7,3.7393535146228833
MP3 & MP4 Player Accessories,391,48250,48641,10,0.8038486050862441
"Headphones, Earbuds & Accessories",260,43000,43260,6,0.6010171058714748
"GPS, Finders & Accessories",39,36162,36201,6,0.10773183061241402
Car & Vehicle Electronics,236,35647,35883,4,0.6576930579940362
Home Audio,136,35558,35694,7,0.3810164173250406
GPS System Accessories,147,33863,34010,7,0.4322258159364893
"Bags, Cases & Sleeves",1233,30168,31401,8,3.9266265405560334
Accessories & Supplies,135,26686,26821,7,0.5033369374743671
Computer Components,134,22222,22356,6,0.5993916621935945
Vehicle Electronics Accessories,85,21057,21142,5,0.4020433260807871
Cases,20168,15,20183,3,99.92568002774613
Home Audio Accessories,69,19495,19564,8,0.3526886117358413
Audio & Video Accessories,687,18342,19029,11,3.610279047769194
Amazon Device Accessories,20,16742,16762,12,0.11931750387781888
Internal Components,2160,14033,16193,13,13.339097140739826
Headphones & Earbuds,1068,14509,15577,4,6.856262438210182
Cables & Accessories,46,14267,14313,2,0.32138615244882274
Wearable Technology,110,14185,14295,7,0.7694998251136761
Cables & Interconnects,588,13678,14266,15,4.121687929342492
Car Electronics,129,13474,13603,3,0.9483202234801147
Batteries & Chargers,53,12421,12474,4,0.42488375821709157
Arm & Wristband Accessories,2201,9587,11788,3,18.67153036986766
eBook Readers & Accessories,51,11536,11587,10,0.440148442219729
Computers & Tablets,231,10431,10662,3,2.1665728756330895
Telescope & Microscope Accessories,10,10346,10356,2,0.09656237929702588
Car Audio,67,10274,10341,8,0.6479063920317184
Cables,341,9027,9368,12,3.6400512382578993
Projector Accessories,66,8560,8626,7,0.7651286807326687
Telephone Accessories,73,8419,8492,6,0.8596325953838907
Home Theater,30,8355,8385,4,0.35778175313059035
Networking Products,265,8054,8319,14,3.1854790239211446
Tablet Replacement Parts,7,7859,7866,5,0.0889905924230867
Lighting & Studio,6,7530,7536,4,0.07961783439490445
Batteries & Battery Packs,1,7475,7476,1,0.01337613697164259
Batteries,4453,3022,7475,2,59.57190635451505
"Keyboards, Mice & Accessories",54,7357,7411,4,0.728646606395898
Data Storage,121,7011,7132,8,1.696578799775659
Monitor Accessories,203,6885,7088,5,2.863995485327314
Webcams & VoIP Equipment,10,6273,6283,3,0.15915963711602737
Telescope Accessories,93,5961,6054,10,1.5361744301288405
Laptops,17,5428,5445,2,0.3122130394857668
Bags & Cases,196,5223,5419,8,3.6169034877283632
Speakers,193,5139,5332,13,3.619654913728432
Portable Speakers & Docks,19,4586,4605,3,0.41259500542888167
Microscope Accessories,5,4287,4292,2,0.11649580615097857
Fans & Cooling,129,4100,4229,8,3.0503665169070704
Digital Camera Accessories,104,4105,4209,5,2.470895699691138
Lighting,105,3861,3966,10,2.6475037821482603
Video Surveillance,119,3715,3834,4,3.1038080333854983
Power Accessories,71,3668,3739,5,1.898903450120353
Screen Protectors,3650,10,3660,4,99.72677595628416
Antennas,1071,2578,3649,2,29.35050698821595
Surveillance Cameras,305,3311,3616,3,8.434734513274336
Computer Cable Adapters,506,3089,3595,9,14.07510431154381
Speaker Accessories,36,3539,3575,2,1.006993006993007
Digital Cameras,196,3255,3451,4,5.679513184584178
Car Video,89,3323,3412,10,2.6084407971864008
Hard Drive Accessories,51,3232,3283,5,1.5534572037770331
External Components,36,3151,3187,5,1.1295889551302165
"Household Batteries, Chargers & Accessories",26,3134,3160,5,0.8227848101265823
Photo Studio,177,2962,3139,8,5.638738451736222
Power Strips & Surge Protectors,24,3114,3138,2,0.7648183556405354
Cord Management,260,2861,3121,6,8.330663248958667
Receivers & Amplifiers,20,2882,2902,3,0.6891798759476223
Monitors,2840,27,2867,3,99.0582490408092
Desktops,112,2631,2743,3,4.083120670798396
Tripods & Monopods,146,2570,2716,6,5.375552282768778
Televisions,229,2472,2701,3,8.478341355053685
Keyboards,2670,11,2681,2,99.58970533383066
Binoculars & Scopes,28,2617,2645,5,1.0586011342155008
Video,74,2516,2590,7,2.857142857142857
Tripod & Monopod Accessories,125,2391,2516,2,4.968203497615263
Lens Accessories,167,2268,2435,9,6.8583162217659135
Battery Chargers,836,1453,2289,2,36.52249890782001
"TV Mounts, Stands & Turntables",31,2257,2288,3,1.3548951048951048
Memory Cards,64,2222,2286,6,2.7996500437445317
Network Adapters,137,1999,2136,4,6.413857677902621
Ethernet Cables,160,1930,2090,4,7.655502392344498
Amplifiers,1274,712,1986,3,64.14904330312186
Underwater Photography,34,1836,1870,4,1.8181818181818181
Lenses,106,1721,1827,3,5.801860974274767
Network Attached Storage,273,1531,1804,2,15.133037694013304
Distribution,143,1630,1773,3,8.065425831923294
Filters & Accessories,132,1629,1761,9,7.4957410562180575
Memory Card Accessories,36,1687,1723,3,2.089378990133488
Camera Lenses,198,1496,1694,2,11.688311688311689
Lighting Controls & Modifiers,11,1661,1672,5,0.6578947368421053
Vehicle Audio & Video Installation,200,1431,1631,4,12.262415695892091
Professional Video Accessories,152,1410,1562,3,9.73111395646607
Camcorders,1361,57,1418,1,95.9802538787024
Subwoofers,391,1008,1399,3,27.94853466761973
Mounts,399,947,1346,1,29.643387815750373
New Arrivals - Electronics,22,1304,1326,5,1.6591251885369533
Skins & Decals,786,536,1322,2,59.4553706505295
External Hard Drives,1306,14,1320,1,98.93939393939394
Sports & Handheld GPS,56,1251,1307,4,4.284621270084163
Surveillance Video Equipment,26,1255,1281,6,2.029664324746292
Camcorder Accessories,30,1251,1281,1,2.34192037470726
Keyboard & Mice Accessories,40,1167,1207,2,3.3140016570008286
Flash Accessories,91,1115,1206,6,7.545605306799336
Radios,107,1018,1125,3,9.511111111111111
Car Safety & Security,40,1080,1120,1,3.5714285714285716
Flashes,82,1027,1109,2,7.39404869251578
Input Devices,56,1029,1085,5,5.161290322580645
USB Gadgets,31,1049,1080,3,2.8703703703703702
Compact Radios & Stereos,14,1020,1034,4,1.3539651837524178
Office Electronics Accessories,12,861,873,4,1.3745704467353952
Optical Drives,35,829,864,3,4.050925925925926
Satellite Television,63,795,858,3,7.3426573426573425
Cleaning & Repair,21,832,853,4,2.4618991793669402
Storage & Presentation Materials,116,731,847,5,13.695395513577331
Film Photography,27,796,823,2,3.280680437424058
Speaker Parts & Components,52,766,818,8,6.356968215158925
Turntables & Accessories,47,767,814,1,5.773955773955774
Blank Media,73,741,814,14,8.968058968058967
Amplifier Installation,52,736,788,12,6.598984771573604
DVD Players & Recorders,33,666,699,2,4.721030042918455
Marine Electronics,15,671,686,11,2.186588921282799
Satellite Equipment,159,511,670,2,23.73134328358209
Bluetooth & FM Transmitters,9,637,646,2,1.3931888544891642
I/O Port Cards,18,616,634,6,2.8391167192429023
Telescopes,55,552,607,3,9.060955518945635
Cleaning,98,504,602,5,16.27906976744186
Cooling Pads & External Fans,31,480,511,2,6.066536203522505
Microscopes,49,451,500,3,9.8
Blu-ray Players & Recorders,14,477,491,1,2.8513238289205702
Cleaning Equipment,30,453,483,5,6.211180124223603
Film Cameras,31,447,478,7,6.485355648535565
Wireless & Streaming Audio,44,234,278,2,15.827338129496402
Internal Optical Drives,8,270,278,2,2.8776978417266186
Vehicle GPS,252,2,254,1,99.21259842519684
CB Radios & Scanners,26,195,221,2,11.764705882352942
Aviation Electronics,3,213,216,4,1.3888888888888888
Gifts for Dads,3,202,205,4,1.4634146341463414
Strobe Lighting,6,192,198,2,3.0303030303030303
Battery & Charger Sets,15,182,197,2,7.614213197969543
Lenses & Filters,6,181,187,1,3.2085561497326203
Camera Supports & Stabilizers,1,165,166,5,0.6024096385542169
Quadcopters & Accessories,39,121,160,1,24.375
Thermal Paste & Pads,8,147,155,2,5.161290322580645
