parent_asin,title,main_category,confidence,reason,brands,laptop_keywords,spec_types
B0006HU56Q,"Apple MacBook Pro MA611LL/A 17"" Notebook PC (2.33 GHz Intel Core 2 Duo,  2 GB RAM, 160 GB Hard Drive, DVD/CD SuperDrive)",Computers,high,Laptop keyword: notebook,"apple, macbook","notebook, macbook","cpu, storage"
B071ZR325F,"HP Pavilion Desktop Computer, Intel Core i5-7400, 8GB RAM, 1TB Hard Drive, Windows 10 (570-p020, Black)",Computers,medium-high,"Brand (hp) + Specs (storage, cpu, os, ram)","hp, pavilion",N/A,"storage, cpu, os, ram"
B01N1IYNPF,Akwox Light Weight [Anti Slip] Shock Proof Silicone Cover for New Apple Tv 4th / 4k 5th Generation Siri Remote Controller (Watermelon red) -not for New Apple 4k TV Series 6th Gen 2021,All Electronics,medium-high,Brand (apple) + Specs (screen),apple,N/A,screen
B09BFDHNXW,"KROSER Lunch Backpack 15.6 inch Laptop Backpack with USB Port Insulated Cooler Backpack for Men and Women, Outdoor Lunch Bag for School Work Hiking Beach Picnic Trip",Computers,high,Laptop keyword: laptop,omen,laptop,screen
B0B6PR8G2V,"Mini PC Window 11 Pro, AMD Ryzen 7 3750H Micro Desktop Computers 16GB DDR4 512GB PCIe SSD, 4K UHD Triple Screen Mini Computer for Light Gaming Business Office Video Editing",Computers,medium,"Multiple specs: storage, cpu, screen, ram",N/A,N/A,"storage, cpu, screen, ram"
B00QE2MSEO,Kensington LS240 Laptop Case 14.4-Inch (K98606WW),Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B00WCC716U,"iPearl mCover Hard Shell Case for 15.6"" Dell Inspiron 15 7547/7548 Series Laptop - Clear",Computers,high,Laptop keyword: laptop,"dell, inspiron",laptop,N/A
B00B4NGR36,"iHome Smart Brief: 13 inch Laptop Briefcase for Mac, Heathered Grey",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
B074J6VC8J,Laptop Ac Adapter Charger Power for Samsung NP355E5C-A01US NP365E5C-S01US NP365E5C-S02US NP365E5C-S03US NP365E5C-S04US NP365E5C-S05US NP350E7C-A01US NP370R5E-S01CA,Computers,high,Laptop keyword: laptop,samsung,laptop,N/A
B00A36QSD4,Fotodiox 24in (60cm) 2-in-1 Collapsible Teardrop Reflector Disc - Silver/Gold,Camera & Photo,high,Laptop keyword: 2-in-1,N/A,2-in-1,N/A
B0C66CBJ4H,"EMISOO Waterproof Travel Laptop Backpack - Large Capacity School Backpack Adjustable Shoulder Strap Backpack USB Charging Port & Headphone Port Backpack For Men With Pencil Bag, Combination Lock",AMAZON FASHION,high,Laptop keyword: laptop,N/A,laptop,N/A
B00M7QUJYM,HP Elite 8000 SFF Intel Core 2 Duo E8400 3.00GHz 8GB Memory 250GB Hard Drive Windows 7 Pro 64Bit Installed,Computers,medium-high,"Brand (hp) + Specs (storage, cpu, ram)",hp,N/A,"storage, cpu, ram"
B002P8M8HS,Toshiba Satellite L505-S5993 TruBrite 15.6-Inch Grey/Black Laptop - 2 Hours 25 Minutes of Battery Life (Windows 7 Home Premium),Computers,high,Laptop keyword: laptop,toshiba,laptop,N/A
B09W219JD6,Herize Case for Galaxy Tab A8 10.5 Inch 2022 (SM-X200/X205/X207) | Samsung A8 Tablet Case W/Screen Protector | Rugged Shockproof Cover w/Stand Hand Shoulder Strap for Samsung Galaxy Tab A8 | Blue,Computers,medium-high,Brand (samsung) + Specs (screen),samsung,N/A,screen
B07VK2YP77,SWEALEER TF03XL Laptop Battery Compatible with HP Pavilion 15-CC 15-CD 15-cc154cl 15-cc060wm 15-cc152od 15-cc055od 15-cd040wm 17-AR007CA 17-AR050WM 920046-121 421 541 920070-855 HSTNN-IB7Y [TF03XL],All Electronics,high,Laptop keyword: laptop,"hp, pavilion",laptop,N/A
B004MPQYA4,"Vivitar DIGI-CAM  2-in-1 Binoculars and Digital Camera | 8.1MP Digital Cameras, Built-in Video Camera, 12x Zoom Binoculars for Adults, Powerful Binoculars for Birdwatching & the Outdoors (Black)",Camera & Photo,high,Laptop keyword: 2-in-1,N/A,2-in-1,N/A
B0BTW8MX8S,Chicken Stickers |50Pcs Hen Rooster Waterproof Vinyl Decals for Water Bottles Bicycle Laptop Refrigerator Luggage Computer Mobile Phone Skateboard Bike Décor,Amazon Home,high,Laptop keyword: laptop,N/A,laptop,N/A
B0B5LNQCJR,"Sony 75 Inch 4K Ultra HD TV X80K Series: LED Smart Google TV with Dolby Vision HDR KD75X80K- Latest Model, Black",All Electronics,medium-high,Brand (sony) + Specs (screen),sony,N/A,screen
B08G174T5H,"Webcam with Microphone,HD Webcam 1080P with Microphone for Desktop Laptop,Web Camera for Computer with Privacy Webcam Cover and Stand,Wide-Angle USB Webcam for Skype,Conference,Study,Streaming Black",Camera & Photo,high,Laptop keyword: laptop,N/A,laptop,screen
B00UJ21VS4,"Kingwin DVI-D 24+1 Male to VGA HD 15 Female Adapter for HDTV, Gaming, Projector, DVD, Laptop, PC, Computers. Convert VGA/SVGA Monitors to DVI, and Supports Hot Plugging of DVI Display Devices",Computers,high,Laptop keyword: laptop,N/A,laptop,N/A
