parent_asin,title,main_category,categories,details,price,average_rating,rating_number,spec_keys_found,spec_keys
B00JB3N6KS,ASUS V301LP 13-Inch Laptop (OLD VERSION),Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""8 GB DDR3"", ""Brand"": ""ASUS"", ""Series"": ""Laptop"", ""Voltage"": ""19 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Core i5"", ""CPU Speed"": ""1.6 GHz"", ""Processor"": ""1.6 GHz core_i5"", ""Hard Drive"": ""750 GB"", ""Model Name"": ""Laptop"", ""Item Weight"": ""4 pounds"", ""Screen Size"": ""13 Inches"", ""Memory Speed"": ""1600 MHz"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""AMD"", ""Wireless Type"": ""802.11bgn"", ""Hard Disk Size"": ""750 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 8"", ""Item model number"": ""V301LP-DS51T"", ""Product Dimensions"": ""13 x 9.2 x 0.9 inches"", ""Computer Memory Type"": ""Unknown"", ""Date First Available"": ""March 26, 2014"", ""Graphics Coprocessor"": ""AMD Radeon HD 8530M"", ""Number of Processors"": ""2"", ""Max Screen Resolution"": ""1920x1080"", ""Item Dimensions  LxWxH"": ""13 x 9.2 x 0.9 inches"", ""Number of USB 2.0 Ports"": ""2"", ""Number of USB 3.0 Ports"": ""1"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""8 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""13 Inches"", ""Average Battery Life (in hours)"": ""5 Hours""}",,3.4,18,17,"Standing screen display size, CPU Speed, Graphics Coprocessor, RAM, Batteries"
B00MCJQ6MI,"Lenovo Y70 17.3-Inch Touchscreen Gaming Laptop PC (Intel Core i7 2.5GHz, 8GB DDR3 RAM, 1TB Hard Drive, External DVDRW, Windows 8.1) - 80DU0033US",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""8 GB DDR3"", ""Brand"": ""Lenovo"", ""Color"": ""Black"", ""Series"": ""Y70 Touch"", ""Batteries"": ""1 Lithium Polymer batteries required. (included)"", ""CPU Model"": ""Core i7"", ""Processor"": ""2.5 GHz core_i7"", ""Hard Drive"": ""1 TB SSD"", ""Model Name"": ""Y70 Touch"", ""Item Weight"": ""7.5 pounds"", ""Screen Size"": ""17.3 Inches"", ""Memory Speed"": ""2.5 GHz"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""NVIDIA"", ""Wireless Type"": ""802.11ac"", ""Hard Disk Size"": ""1 TB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 8"", ""Flash Memory Size"": ""8"", ""Hardware Platform"": ""PC"", ""Item model number"": ""80DU0033US"", ""Optical Drive Type"": ""External DVDRW"", ""Product Dimensions"": ""16.61 x 1.02 x 11.44 inches"", ""Computer Memory Type"": ""Unknown"", ""Date First Available"": ""April 28, 2017"", ""Graphics Coprocessor"": ""NVIDIA GTX-860M 2GB"", ""Number of Processors"": ""1"", ""Max Screen Resolution"": ""1920x1080 Pixels"", ""Graphics Card Ram Size"": ""2000 MB"", ""Item Dimensions  LxWxH"": ""16.61 x 1.02 x 11.44 inches"", ""Number of USB 2.0 Ports"": ""1"", ""Number of USB 3.0 Ports"": ""2"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""8 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""17.3 Inches"", ""Average Battery Life (in hours)"": ""4 Hours""}",,3.5,103,18,"Standing screen display size, Graphics Coprocessor, RAM, Batteries, Graphics Card Description"
B0BMQDXNQL,"ETRONIK Lunch Backpack for Women, 15.6 Inch Laptop Backpack with USB Port, Stylish Nurse Backpack Teacher Work Bag with Insulated Cooler Lunch Box for Women Men/Travel, Blue",Computers,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Bags, Cases & Sleeves"", ""Backpacks""]","{""Brand"": ""ETRONIK"", ""Color"": ""Dark Blue"", ""Series"": ""Wcb002"", ""Department"": ""unisex-adult"", ""Item Weight"": ""2 pounds"", ""Manufacturer"": ""ETRONIK"", ""Best Sellers Rank"": {""Laptop Backpacks"": 288}, ""Item model number"": ""WCB002"", ""Product Dimensions"": ""13.39 x 9.45 x 2.36 inches"", ""Date First Available"": ""December 23, 2021"", ""Item Dimensions  LxWxH"": ""13.39 x 9.45 x 2.36 inches"", ""Standing screen display size"": ""15.6 Inches""}",42.49,4.6,2598,1,Standing screen display size
B01MYZSQKU,"V7 16"" Professional Shock and Water Resistant Sleeve for Dell, ASUS, HP, Acer, Toshiba, Apple, Lenovo notebooks and laptops (CSP1-9N) Black",All Electronics,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Bags, Cases & Sleeves"", ""Sleeves""]","{""Brand"": ""V7"", ""Color"": ""Black"", ""Language"": ""English"", ""Material"": ""Neopro"", ""Department"": ""Unisex-adult"", ""Form Factor"": ""Sleeve"", ""Item Weight"": ""7.7 ounces"", ""Manufacturer"": ""V7"", ""Hardware Platform"": ""PC"", ""Item model number"": ""CSP1-9N"", ""Compatible Devices"": ""Laptops"", ""Product Dimensions"": ""11 x 0.75 x 15.75 inches"", ""Date First Available"": ""June 19, 2010"", ""Item Dimensions  LxWxH"": ""11 x 0.75 x 15.75 inches"", ""Standing screen display size"": ""16 Inches"", ""Is Discontinued By Manufacturer"": ""No""}",,4.3,72,1,Standing screen display size
B07GFDBQ5B,ANTIEE F3YGT Laptop Battery for Dell Latitude 12 7000 7280 7290/13 7000 7380 7390/14 7000 7490 7480 P28S P28S001 P73G P73G002 Series DM6WC DM3WC 2X39G KG7VF 451-BBYE 453-BBCF 60Wh 7.6V 4-Cell,All Electronics,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Batteries""]","{""Brand"": ""ANTIEE"", ""Batteries"": ""1 Lithium Polymer batteries required. (included)"", ""Unit Count"": ""1 Count"", ""Item Weight"": ""1.37 ounces"", ""Manufacturer"": ""Dongguan jiataiyuan electronics Co., Ltd"", ""Best Sellers Rank"": {""Electronics"": 186810, ""Laptop Batteries"": 3890}, ""Country of Origin"": ""China"", ""Item model number"": ""F3YGT"", ""Package Dimensions"": ""11.02 x 5.08 x 1.26 inches"", ""Number of Batteries"": ""1 Lithium Polymer batteries required. (included)"", ""Date First Available"": ""August 13, 2018"", ""Battery Cell Composition"": ""Lithium Polymer"", ""Recommended Uses For Product"": ""Laptop"", ""Is Discontinued By Manufacturer"": ""No""}",38.99,4.5,111,1,Batteries
B077GFRJDM,"Promise Technology Thunderbolt 3 Dock TD-300 (USB/Ethernet/Audio/HDMI/SD Reader), Black",Computers,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Docking Stations""]","{""Brand"": ""TD300"", ""Color"": ""black"", ""Series"": ""TD-300"", ""Wattage"": ""60 watts"", ""Item Weight"": ""1 Pounds"", ""Manufacturer"": ""Promise Technology -- Dropship"", ""Power Source"": ""AC"", ""Number of Ports"": ""12"", ""Total USB Ports"": ""5"", ""Total HDMI Ports"": ""1"", ""Item model number"": ""DOCK1TB3US"", ""Compatible Devices"": ""Thunderbolt 3 compatible Mac or PC"", ""Hardware Interface"": ""USB 3.0"", ""Product Dimensions"": ""9.05 x 3.44 x 1.06 inches"", ""Date First Available"": ""November 15, 2017"", ""Item Dimensions LxWxH"": ""9.05 x 3.44 x 1.06 inches"", ""Item Dimensions  LxWxH"": ""9.05 x 3.44 x 1.06 inches"", ""Number of USB 3.0 Ports"": ""5"", ""Is Discontinued By Manufacturer"": ""No""}",,3.2,38,1,Number of USB 3.0 Ports
B01C59KMII,"LB1 High Performance 6600mAh Battery for HP Pavilion DV6 484170-001, 484170-002, KS524AA, KS526AA, HSTNN-IB72",Computers,"[""Electronics"", ""Computers & Accessories"", ""Laptop Accessories"", ""Batteries""]","{""Brand"": ""LB1 High Performance"", ""Series"": ""484170 1"", ""Voltage"": ""10.8 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Unit Count"": ""1 Count"", ""Item Weight"": ""1.1 pounds"", ""Manufacturer"": ""AD 888, LP (dba LaptopBatteryOne.com)"", ""Item model number"": ""LB-HP42D-66-PAV-DV4T-1300"", ""Product Dimensions"": ""10 x 2 x 4 inches"", ""Number of Batteries"": ""1 Lithium Ion batteries required. (included)"", ""Date First Available"": ""June 19, 2013"", ""Item Dimensions  LxWxH"": ""10 x 2 x 4 inches"", ""Battery Cell Composition"": ""Lithium Ion"", ""Recommended Uses For Product"": ""Laptop"", ""Is Discontinued By Manufacturer"": ""No""}",,3.6,27,1,Batteries
B01M3PBFLY,"Lenovo Y700 - 15.6 Inch Full HD Gaming Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1TB HDD, NVIDIA GeForce GTX 960M, Windows 10) 80NV0026US",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""8 GB DDR4"", ""Brand"": ""Lenovo"", ""Color"": ""Black"", ""Series"": ""FBA_80NV0026US"", ""Batteries"": ""1 Lithium Polymer batteries required. (included)"", ""CPU Model"": ""Core i7"", ""Processor"": ""2.6 GHz core_i7"", ""Hard Drive"": ""1 TB HDD"", ""Model Name"": ""FBA_80NV0026US"", ""Item Weight"": ""5.72 pounds"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""3.5 GHz"", ""Power Source"": ""Corded Electric, Battery Powered"", ""Chipset Brand"": ""NVIDIA"", ""Wireless Type"": ""802.11ac"", ""Hard Disk Size"": ""1 TB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 10"", ""Best Sellers Rank"": {""Computers & Accessories"": 91302, ""Traditional Laptop Computers"": 18653}, ""Flash Memory Size"": ""8 GB"", ""Hardware Platform"": ""PC"", ""Item model number"": ""80NV0026US"", ""Product Dimensions"": ""15.24 x 1.02 x 10.91 inches"", ""Computer Memory Type"": ""Unknown"", ""Date First Available"": ""September 15, 2015"", ""Graphics Coprocessor"": ""NVIDIA GeForce GTX 960M"", ""Hard Drive Interface"": ""USB"", ""Number of Processors"": ""4"", ""Max Screen Resolution"": ""1920x1080 Pixels"", ""Graphics Card Ram Size"": ""4000 MB"", ""Item Dimensions  LxWxH"": ""15.24 x 1.02 x 10.91 inches"", ""Number of USB 2.0 Ports"": ""1"", ""Number of USB 3.0 Ports"": ""2"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""8 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""15.6 Inches"", ""Average Battery Life (in hours)"": ""4 Hours""}",1199.0,4.1,161,19,"Standing screen display size, Graphics Coprocessor, RAM, Batteries, Graphics Card Description"
B004GTNCQK,Toshiba Qosmio X505-Q8102 18.4-Inch Gaming Laptop (Omega Black),Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""6 GB DDR3"", ""Brand"": ""Toshiba"", ""Color"": ""Black"", ""Series"": ""Qosmio"", ""Voltage"": ""240 Volts"", ""CPU Model"": ""Core i7"", ""Processor"": ""2.9 hertz core_i7"", ""Hard Drive"": ""640 GB HDD"", ""Model Name"": ""Qosmio"", ""Item Weight"": ""10.1 pounds"", ""Screen Size"": ""18.4 Inches"", ""Battery Type"": ""Lithium_ion"", ""Memory Speed"": ""1333 MHz"", ""Power Source"": ""Corded Electric"", ""Chipset Brand"": ""NVIDIA"", ""Wireless Type"": ""802.11bgn, 802.11b, 802.11b/g"", ""Hard Disk Size"": ""640 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Window 7 Home Premium 64-bit"", ""Hardware Platform"": ""PC"", ""Item model number"": ""PQX34U-00M01T"", ""Screen Resolution"": ""1680 x 945"", ""Optical Drive Type"": ""Dvd_plus_rw"", ""Product Dimensions"": ""11.6 x 17.4 x 1.83 inches"", ""Audio-out Ports (#)"": ""2"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""January 23, 2011"", ""Graphics Coprocessor"": ""GeForce GTX 460M"", ""Hard Drive Interface"": ""Serial ATA"", ""Number of Processors"": ""1"", ""Max Screen Resolution"": ""1680 x 945"", ""Graphics Card Ram Size"": ""1500 MB"", ""Item Dimensions  LxWxH"": ""11.6 x 17.4 x 1.83 inches"", ""Number of USB 2.0 Ports"": ""4"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""6 GB"", ""Hard Drive Rotational Speed"": ""7200 RPM"", ""Standing screen display size"": ""18.4 Inches"", ""Average Battery Life (in hours)"": ""3.5 Hours""}",,3.0,14,17,"Standing screen display size, Graphics Coprocessor, RAM, Graphics Card Description, Hard Drive Interface"
B07GCS5CY7,"Dell Latitude E6540 15.6inch Laptop, Core i7-4800MQ 2.7GHz, 16GB Ram, 500GB SSD, DVDRW, Windows 10 Pro 64bit, Webcam (Renewed)",Computers,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","{""RAM"": ""16 GB DDR4"", ""Brand"": ""Dell"", ""Color"": ""Grey"", ""Series"": ""Dell Latitude"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Core i7"", ""CPU Speed"": ""2.7 GHz"", ""Processor"": ""2.7 GHz core_i7"", ""Hard Drive"": ""500 GB SSD"", ""Model Name"": ""Dell Latitude"", ""Item Weight"": ""5.2 pounds"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""2.7 GHz"", ""Chipset Brand"": ""AMD"", ""Hard Disk Size"": ""500 GB"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 10 Pro"", ""Best Sellers Rank"": {""Computers & Accessories"": 17662, ""Traditional Laptop Computers"": 2579, ""Climate Pledge Friendly: Computers"": 2381}, ""Flash Memory Size"": ""512"", ""Item model number"": ""Latitude E6540"", ""Product Dimensions"": ""9.9 x 14.9 x 1.3 inches"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""August 11, 2018"", ""Number of Processors"": ""4"", ""Item Dimensions  LxWxH"": ""9.9 x 14.9 x 1.3 inches"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""16 GB"", ""Standing screen display size"": ""15.6 Inches""}",389.9,3.9,105,13,"Standing screen display size, CPU Speed, RAM, Batteries, Graphics Card Description"
