parent_asin,title,categories,main_category,price,average_rating,rating_number,details
B00JB3N6KS,ASUS V301LP 13-Inch Laptop (OLD VERSION),"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,,3.4,18,"{""RAM"": ""8 GB DDR3"", ""Brand"": ""ASUS"", ""Series"": ""Laptop"", ""Voltage"": ""19 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Core i5"", ""CPU Speed"": ""1.6 GHz"", ""Processor"": ""1.6 GHz core_i5"", ""Hard Drive"": ""750 GB"", ""Model Name"": ""Laptop"", ""Item Weight"": ""4 pounds"", ""Screen Size"": ""13 Inches"", ""Memory Speed"": ""1600 MHz"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""AMD"", ""Wireless Type"": ""802.11bgn"", ""Hard Disk Size"": ""750 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 8"", ""Item model number"": ""V301LP-DS51T"", ""Product Dimensions"": ""13 x 9.2 x 0.9 inches"", ""Computer Memory Type"": ""Unknown"", ""Date First Available"": ""March 26, 2014"", ""Graphics Coprocessor"": ""AMD Radeon HD 8530M"", ""Number of Processors"": ""2"", ""Max Screen Resolution"": ""1920x1080"", ""Item Dimensions  LxWxH"": ""13 x 9.2 x 0.9 inches"", ""Number of USB 2.0 Ports"": ""2"", ""Number of USB 3.0 Ports"": ""1"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""8 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""13 Inches"", ""Average Battery Life (in hours)"": ""5 Hours""}"
B00MCJQ6MI,"Lenovo Y70 17.3-Inch Touchscreen Gaming Laptop PC (Intel Core i7 2.5GHz, 8GB DDR3 RAM, 1TB Hard Drive, External DVDRW, Windows 8.1) - 80DU0033US","[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,,3.5,103,"{""RAM"": ""8 GB DDR3"", ""Brand"": ""Lenovo"", ""Color"": ""Black"", ""Series"": ""Y70 Touch"", ""Batteries"": ""1 Lithium Polymer batteries required. (included)"", ""CPU Model"": ""Core i7"", ""Processor"": ""2.5 GHz core_i7"", ""Hard Drive"": ""1 TB SSD"", ""Model Name"": ""Y70 Touch"", ""Item Weight"": ""7.5 pounds"", ""Screen Size"": ""17.3 Inches"", ""Memory Speed"": ""2.5 GHz"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""NVIDIA"", ""Wireless Type"": ""802.11ac"", ""Hard Disk Size"": ""1 TB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 8"", ""Flash Memory Size"": ""8"", ""Hardware Platform"": ""PC"", ""Item model number"": ""80DU0033US"", ""Optical Drive Type"": ""External DVDRW"", ""Product Dimensions"": ""16.61 x 1.02 x 11.44 inches"", ""Computer Memory Type"": ""Unknown"", ""Date First Available"": ""April 28, 2017"", ""Graphics Coprocessor"": ""NVIDIA GTX-860M 2GB"", ""Number of Processors"": ""1"", ""Max Screen Resolution"": ""1920x1080 Pixels"", ""Graphics Card Ram Size"": ""2000 MB"", ""Item Dimensions  LxWxH"": ""16.61 x 1.02 x 11.44 inches"", ""Number of USB 2.0 Ports"": ""1"", ""Number of USB 3.0 Ports"": ""2"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""8 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""17.3 Inches"", ""Average Battery Life (in hours)"": ""4 Hours""}"
B01M3PBFLY,"Lenovo Y700 - 15.6 Inch Full HD Gaming Laptop (Intel Quad Core i7-6700HQ, 8 GB RAM, 1TB HDD, NVIDIA GeForce GTX 960M, Windows 10) 80NV0026US","[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,1199.0,4.1,161,"{""RAM"": ""8 GB DDR4"", ""Brand"": ""Lenovo"", ""Color"": ""Black"", ""Series"": ""FBA_80NV0026US"", ""Batteries"": ""1 Lithium Polymer batteries required. (included)"", ""CPU Model"": ""Core i7"", ""Processor"": ""2.6 GHz core_i7"", ""Hard Drive"": ""1 TB HDD"", ""Model Name"": ""FBA_80NV0026US"", ""Item Weight"": ""5.72 pounds"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""3.5 GHz"", ""Power Source"": ""Corded Electric, Battery Powered"", ""Chipset Brand"": ""NVIDIA"", ""Wireless Type"": ""802.11ac"", ""Hard Disk Size"": ""1 TB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 10"", ""Best Sellers Rank"": {""Computers & Accessories"": 91302, ""Traditional Laptop Computers"": 18653}, ""Flash Memory Size"": ""8 GB"", ""Hardware Platform"": ""PC"", ""Item model number"": ""80NV0026US"", ""Product Dimensions"": ""15.24 x 1.02 x 10.91 inches"", ""Computer Memory Type"": ""Unknown"", ""Date First Available"": ""September 15, 2015"", ""Graphics Coprocessor"": ""NVIDIA GeForce GTX 960M"", ""Hard Drive Interface"": ""USB"", ""Number of Processors"": ""4"", ""Max Screen Resolution"": ""1920x1080 Pixels"", ""Graphics Card Ram Size"": ""4000 MB"", ""Item Dimensions  LxWxH"": ""15.24 x 1.02 x 10.91 inches"", ""Number of USB 2.0 Ports"": ""1"", ""Number of USB 3.0 Ports"": ""2"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""8 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""15.6 Inches"", ""Average Battery Life (in hours)"": ""4 Hours""}"
B004GTNCQK,Toshiba Qosmio X505-Q8102 18.4-Inch Gaming Laptop (Omega Black),"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,,3.0,14,"{""RAM"": ""6 GB DDR3"", ""Brand"": ""Toshiba"", ""Color"": ""Black"", ""Series"": ""Qosmio"", ""Voltage"": ""240 Volts"", ""CPU Model"": ""Core i7"", ""Processor"": ""2.9 hertz core_i7"", ""Hard Drive"": ""640 GB HDD"", ""Model Name"": ""Qosmio"", ""Item Weight"": ""10.1 pounds"", ""Screen Size"": ""18.4 Inches"", ""Battery Type"": ""Lithium_ion"", ""Memory Speed"": ""1333 MHz"", ""Power Source"": ""Corded Electric"", ""Chipset Brand"": ""NVIDIA"", ""Wireless Type"": ""802.11bgn, 802.11b, 802.11b/g"", ""Hard Disk Size"": ""640 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Window 7 Home Premium 64-bit"", ""Hardware Platform"": ""PC"", ""Item model number"": ""PQX34U-00M01T"", ""Screen Resolution"": ""1680 x 945"", ""Optical Drive Type"": ""Dvd_plus_rw"", ""Product Dimensions"": ""11.6 x 17.4 x 1.83 inches"", ""Audio-out Ports (#)"": ""2"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""January 23, 2011"", ""Graphics Coprocessor"": ""GeForce GTX 460M"", ""Hard Drive Interface"": ""Serial ATA"", ""Number of Processors"": ""1"", ""Max Screen Resolution"": ""1680 x 945"", ""Graphics Card Ram Size"": ""1500 MB"", ""Item Dimensions  LxWxH"": ""11.6 x 17.4 x 1.83 inches"", ""Number of USB 2.0 Ports"": ""4"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""6 GB"", ""Hard Drive Rotational Speed"": ""7200 RPM"", ""Standing screen display size"": ""18.4 Inches"", ""Average Battery Life (in hours)"": ""3.5 Hours""}"
B07GCS5CY7,"Dell Latitude E6540 15.6inch Laptop, Core i7-4800MQ 2.7GHz, 16GB Ram, 500GB SSD, DVDRW, Windows 10 Pro 64bit, Webcam (Renewed)","[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,389.9,3.9,105,"{""RAM"": ""16 GB DDR4"", ""Brand"": ""Dell"", ""Color"": ""Grey"", ""Series"": ""Dell Latitude"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Core i7"", ""CPU Speed"": ""2.7 GHz"", ""Processor"": ""2.7 GHz core_i7"", ""Hard Drive"": ""500 GB SSD"", ""Model Name"": ""Dell Latitude"", ""Item Weight"": ""5.2 pounds"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""2.7 GHz"", ""Chipset Brand"": ""AMD"", ""Hard Disk Size"": ""500 GB"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 10 Pro"", ""Best Sellers Rank"": {""Computers & Accessories"": 17662, ""Traditional Laptop Computers"": 2579, ""Climate Pledge Friendly: Computers"": 2381}, ""Flash Memory Size"": ""512"", ""Item model number"": ""Latitude E6540"", ""Product Dimensions"": ""9.9 x 14.9 x 1.3 inches"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""August 11, 2018"", ""Number of Processors"": ""4"", ""Item Dimensions  LxWxH"": ""9.9 x 14.9 x 1.3 inches"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""16 GB"", ""Standing screen display size"": ""15.6 Inches""}"
B07YNKGWMT,"Microsoft Surface Laptop 3 – 13.5"" Touch-Screen – Intel Core i5 - 8GB Memory - 256GB Solid State Drive – Cobalt Blue with Alcantara","[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,887.57,4.2,116,"{""RAM"": ""8 GB LPDDR4"", ""Brand"": ""Microsoft"", ""Color"": ""Cobalt Blue"", ""Series"": ""Surface Laptop"", ""Voltage"": ""240 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Core i5"", ""Processor"": ""1.2 GHz core_i5"", ""Hard Drive"": ""256 GB SSD"", ""Model Name"": ""Surface Laptop"", ""Item Weight"": ""2.79 pounds"", ""Screen Size"": ""13.5 Inches"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""Bluetooth, 802.11ax"", ""Hard Disk Size"": ""256 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Integrated"", ""Operating System"": ""Windows 10 Home"", ""Best Sellers Rank"": {""Computers & Accessories"": 47350, ""Traditional Laptop Computers"": 8623, ""Climate Pledge Friendly: Computers"": 4726}, ""Flash Memory Size"": ""256"", ""Hardware Platform"": ""PC"", ""Item model number"": ""V4C-00043"", ""Screen Resolution"": ""2256 x 1504 pixels"", ""Optical Drive Type"": ""No Optical Drive"", ""Product Dimensions"": ""12.1 x 8.8 x 0.57 inches"", ""Computer Memory Type"": ""Unknown"", ""Date First Available"": ""October 2, 2019"", ""Graphics Coprocessor"": ""Intel Iris Plus"", ""Hard Drive Interface"": ""Solid State"", ""Number of Processors"": ""4"", ""Max Screen Resolution"": ""2256 x 1504"", ""Item Dimensions  LxWxH"": ""12.1 x 8.8 x 0.57 inches"", ""Number of USB 3.0 Ports"": ""2"", ""Graphics Card Description"": ""Integrated"", ""Ram Memory Installed Size"": ""8 GB"", ""Hard Drive Rotational Speed"": ""7200"", ""Standing screen display size"": ""13.5 Inches"", ""Average Battery Life (in hours)"": ""11.5 Hours""}"
B07RXM83DR,"Dell XPS 13 9360 Laptop (13.3"" InfinityEdge TouchScreen Quad HD+ (3200 x 1800), Intel 8th Gen Quad-Core i7-8550U, 512GB PCIe, 16GB RAM, Backlit Keyboard, Windows 10) Silver","[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,1499.99,3.6,66,"{""RAM"": ""16 GB A8"", ""Brand"": ""Dell"", ""Color"": ""Silver"", ""Series"": ""XPS 13"", ""Voltage"": ""240 Volts"", ""Batteries"": ""1 Lithium Ion batteries required."", ""CPU Model"": ""Core i7"", ""Processor"": ""1.8 GHz core_i7"", ""Hard Drive"": ""512 GB SSD"", ""Model Name"": ""XPS 13"", ""Item Weight"": ""2.6 pounds"", ""Screen Size"": ""13.3 Inches"", ""Memory Speed"": ""1866 MHz"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""Bluetooth"", ""Hard Disk Size"": ""512 GB"", ""Processor Brand"": ""Intel"", ""Special Feature"": ""Backlit Keyboard"", ""Card Description"": ""Integrated, Dedicated"", ""Operating System"": ""Windows 10"", ""Best Sellers Rank"": {""Computers & Accessories"": 130832, ""Traditional Laptop Computers"": 28798}, ""Flash Memory Size"": ""512"", ""Hardware Platform"": ""PC"", ""Item model number"": ""XPS9360-7180SLV-PUS"", ""Optical Drive Type"": ""BD-R"", ""Product Dimensions"": ""17 x 11.6 x 11.6 inches"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""November 21, 2017"", ""Graphics Coprocessor"": ""Intel HD Graphics 620"", ""Hard Drive Interface"": ""Solid State"", ""Number of Processors"": ""1"", ""Item Dimensions  LxWxH"": ""17 x 11.6 x 11.6 inches"", ""Number of USB 2.0 Ports"": ""16"", ""Number of USB 3.0 Ports"": ""16"", ""Graphics Card Description"": ""Integrated, Dedicated"", ""Ram Memory Installed Size"": ""16 GB"", ""Hard Drive Rotational Speed"": ""16"", ""Standing screen display size"": ""13.3 Inches""}"
B018LH6FWK,"Dell Inspiron 15 i5558-5718SLV Signature Edition 15.6-Inch Laptop (i5-4210U Processor, 8GB RAM, 1TB HDD, Windows 10 Home), Silver Black","[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,,3.8,481,"{""RAM"": ""8 GB DDR3L"", ""Brand"": ""Dell"", ""Color"": ""SILVER BLACK"", ""Series"": ""FBA_i5558-5718SLV"", ""Voltage"": ""240 Volts"", ""Batteries"": ""1 Lithium Ion batteries required."", ""CPU Model"": ""Core i5"", ""Processor"": ""2.7 GHz core_i5"", ""Hard Drive"": ""1 TB HDD"", ""Model Name"": ""FBA_i5558-5718SLV"", ""Item Weight"": ""5.3 pounds"", ""Screen Size"": ""15.6 Inches"", ""Memory Speed"": ""2.7 GHz"", ""Power Source"": ""Corded Electric, Battery Powered"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""802.11a/b/g/n/ac, 802.11ac"", ""Hard Disk Size"": ""1 TB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Integrated"", ""Operating System"": ""Windows 10 Home"", ""Best Sellers Rank"": {""Computers & Accessories"": 57122, ""Traditional Laptop Computers"": 10638}, ""Hardware Platform"": ""PC"", ""Item model number"": ""FBA_i5558-5718SLV"", ""Product Dimensions"": ""14.9 x 0.95 x 10.25 inches"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Date First Available"": ""November 27, 2015"", ""Graphics Coprocessor"": ""Intel HD Graphics 4400"", ""Hard Drive Interface"": ""USB"", ""Number of Processors"": ""4"", ""Max Screen Resolution"": ""1920 x 1080"", ""Item Dimensions  LxWxH"": ""14.9 x 0.95 x 10.25 inches"", ""Number of USB 2.0 Ports"": ""2"", ""Graphics Card Description"": ""Integrated"", ""Ram Memory Installed Size"": ""8 GB"", ""Hard Drive Rotational Speed"": ""5400 RPM"", ""Standing screen display size"": ""15.6 Inches"", ""Average Battery Life (in hours)"": ""4.5 Hours""}"
B078854KMV,"HP Spectre x360 13T i7-8550U, 16GB RAM, 512GB SSD, 13.3"" FHD Touch with Stylus, Windows 10 (Dark Ash)","[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]",Computers,,4.1,89,"{""RAM"": ""16 GB LPDDR3"", ""Brand"": ""HP"", ""Color"": ""Dark Ash"", ""Series"": ""HP Spectre"", ""CPU Model"": ""Core i7"", ""Processor"": ""1.8 GHz core_i7"", ""Hard Drive"": ""512 GB SSD"", ""Model Name"": ""HP Spectre"", ""Item Weight"": ""2.8 pounds"", ""Screen Size"": ""13.3 Inches"", ""Memory Speed"": ""2133 MHz"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""Intel"", ""Wireless Type"": ""802.11ac"", ""Processor Brand"": ""Intel"", ""Special Feature"": ""Stylus"", ""Card Description"": ""Integrated"", ""Operating System"": ""Windows 10"", ""Best Sellers Rank"": {""2"": 1279, ""Computers & Accessories"": 83220}, ""Flash Memory Size"": ""512 GB"", ""Hardware Platform"": ""PC"", ""Item model number"": ""Spectre x360-13t"", ""Product Dimensions"": ""14 x 9.88 x 0.7 inches"", ""Computer Memory Type"": ""DDR4 SDRAM"", ""Date First Available"": ""December 13, 2017"", ""Graphics Coprocessor"": ""Intel UHD Graphics 620"", ""Hard Drive Interface"": ""Serial ATA"", ""Number of Processors"": ""4"", ""Item Dimensions  LxWxH"": ""14 x 9.88 x 0.7 inches"", ""Memory Storage Capacity"": ""512 GB"", ""Number of USB 2.0 Ports"": ""1"", ""Ram Memory Installed Size"": ""16 GB"", ""Specific Uses For Product"": ""Multimedia, Gaming"", ""Standing screen display size"": ""13.3 Inches""}"
B08C2W6RVF,"Razer Blade Stealth 13 Ultrabook Gaming Laptop: Intel Quad Core i7-1065G7, NVIDIA GeForce GTX 1650 Ti Max-Q, 13.3"" 4K Touch, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB, Thunderbolt 3, Creator Ready","[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]",Computers,,4.1,107,"{""RAM"": ""16 GB LPDDR4"", ""Brand"": ""Razer"", ""Color"": ""Classic Black"", ""Series"": ""Blade Stealth"", ""Voltage"": ""230 Volts"", ""Batteries"": ""1 Lithium Ion batteries required. (included)"", ""CPU Model"": ""Core i7 Family"", ""Processor"": ""3.9 GHz core_i7_family"", ""Hard Drive"": ""512 GB SSD"", ""Model Name"": ""Blade Stealth"", ""Item Weight"": ""3.26 pounds"", ""Screen Size"": ""13.3 Inches"", ""Memory Speed"": ""3733 MHz"", ""Power Source"": ""Battery Powered"", ""Chipset Brand"": ""NVIDIA"", ""Wireless Type"": ""802.11a/b/g/n/ac, Bluetooth"", ""Hard Disk Size"": ""512 GB"", ""Processor Brand"": ""Intel"", ""Card Description"": ""Dedicated"", ""Operating System"": ""Windows 10"", ""Best Sellers Rank"": {""Computers & Accessories"": 59198, ""Traditional Laptop Computers"": 11077}, ""Flash Memory Size"": ""16"", ""Hardware Platform"": ""PC"", ""Item model number"": ""RZ09-03102E52-R3U1"", ""Optical Drive Type"": ""No Optical Drive"", ""Product Dimensions"": ""8.27 x 11.9 x 0.6 inches"", ""Computer Memory Type"": ""DDR SDRAM"", ""Date First Available"": ""April 21, 2020"", ""Graphics Coprocessor"": ""NVIDIA GeForce GTX 1650 Ti"", ""Hard Drive Interface"": ""USB"", ""Number of Processors"": ""4"", ""Max Screen Resolution"": ""3840 x 2160 Pixels"", ""Graphics Card Ram Size"": ""4 GB"", ""Item Dimensions  LxWxH"": ""8.27 x 11.9 x 0.6 inches"", ""Number of USB 3.0 Ports"": ""2"", ""Graphics Card Description"": ""Dedicated"", ""Ram Memory Installed Size"": ""16 GB"", ""Standing screen display size"": ""13.3 Inches""}"
