leaf_category,count
Cases,20168
Earbud Headphones,10015
USB Cables,6796
Remote Controls,5305
Traditional Laptops,4862
Batteries,4453
Chargers & Adapters,4229
Portable Bluetooth Speakers,3865
Camera Cases,3730
Screen Protectors,3650
Stands,3488
Over-Ear Headphones,3212
Connectors & Adapters,2993
Lightning Cables,2870
HDMI Cables,2843
Monitors,2840
USB Flash Drives,2818
Sleeves,2812
Keyboards,2670
Camera Batteries,2501
Adapters,2460
Mice,2458
Camera Mounts & Clamps,2387
Memory,2376
LED & LCD TVs,2339
Electronics Warranties,2283
AC Adapters,2276
Earpads,2249
Tablets,2243
Power Strips,2239
Arm & Wristband Accessories,2201
Backpacks,2190
Internal Components,2160
TV Wall & Ceiling Mounts,2113
Graphics Cards,2037
Point & Shoot Digital Cameras,1997
Tablet Accessories,1822
Keyboard Cases,1812
TV Antennas,1759
Case Fans,1730
Video Projectors,1707
Complete Tripods,1667
Smartwatches,1661
Dome Cameras,1623
Stereo Jack Cables,1598
Single Board Computers,1587
Towers,1552
Backgrounds,1550
MP3 & MP4 Players,1547
Messenger & Shoulder Bags,1529
Motherboards,1504
Computer Cases,1496
On-Dash Cameras,1494
Webcams,1439
Routers,1438
Enclosures,1424
RCA,1391
Bullet Cameras,1373
Camcorders,1361
Power Cords,1337
Hubs,1333
SLR Camera Lenses,1328
Memory Card Readers,1318
External Hard Drives,1306
Camera,1287
Amplifiers,1274
Monitor Stands,1270
Internal Power Supplies,1262
Screen Protector Foils,1251
"Bags, Cases & Sleeves",1233
Covers,1233
Coaxial Speakers,1226
Computers & Accessories,1225
Power Converters,1224
On-Ear Headphones,1224
USB Network Adapters,1217
DVI-HDMI Adapters,1205
Home Security Systems,1198
Car Stereo Receivers,1187
Camera & Photo,1169
Docking Stations,1167
Keyboard Skins,1166
Hard Shell Cases,1144
Micro SD Cards,1135
Binoculars,1122
Cable Ties,1106
USB Hubs,1098
Vehicle Backup Cameras,1080
Antennas,1071
Headphones & Earbuds,1068
Vehicle Mounts,1048
Video Converters,1034
Computer Speakers,1018
Keyboard & Mouse Combos,1011
