category,type,product_count,num_children
Earbud Headphones,true_leaf,10015,0
USB Cables,true_leaf,6796,0
Remote Controls,true_leaf,5305,0
Traditional Laptops,true_leaf,4862,0
Chargers & Adapters,true_leaf,4229,0
Portable Bluetooth Speakers,true_leaf,3865,0
Camera Cases,true_leaf,3730,0
Stands,true_leaf,3488,0
Over-Ear Headphones,true_leaf,3212,0
Connectors & Adapters,true_leaf,2993,0
Lightning Cables,true_leaf,2870,0
HDMI Cables,true_leaf,2843,0
USB Flash Drives,true_leaf,2818,0
Sleeves,true_leaf,2812,0
Camera Batteries,true_leaf,2501,0
Adapters,true_leaf,2460,0
Mice,true_leaf,2458,0
Camera Mounts & Clamps,true_leaf,2387,0
Memory,true_leaf,2376,0
LED & LCD TVs,true_leaf,2339,0
Electronics Warranties,true_leaf,2283,0
AC Adapters,true_leaf,2276,0
Earpads,true_leaf,2249,0
Tablets,true_leaf,2243,0
Power Strips,true_leaf,2239,0
Backpacks,true_leaf,2190,0
TV Wall & Ceiling Mounts,true_leaf,2113,0
Graphics Cards,true_leaf,2037,0
Point & Shoot Digital Cameras,true_leaf,1997,0
Keyboard Cases,true_leaf,1812,0
TV Antennas,true_leaf,1759,0
Case Fans,true_leaf,1730,0
Video Projectors,true_leaf,1707,0
Complete Tripods,true_leaf,1667,0
Smartwatches,true_leaf,1661,0
Dome Cameras,true_leaf,1623,0
Stereo Jack Cables,true_leaf,1598,0
Single Board Computers,true_leaf,1587,0
Towers,true_leaf,1552,0
Backgrounds,true_leaf,1550,0
MP3 & MP4 Players,true_leaf,1547,0
Messenger & Shoulder Bags,true_leaf,1529,0
Motherboards,true_leaf,1504,0
Computer Cases,true_leaf,1496,0
On-Dash Cameras,true_leaf,1494,0
Webcams,true_leaf,1439,0
Routers,true_leaf,1438,0
Enclosures,true_leaf,1424,0
RCA,true_leaf,1391,0
Bullet Cameras,true_leaf,1373,0
Power Cords,true_leaf,1337,0
Hubs,true_leaf,1333,0
SLR Camera Lenses,true_leaf,1328,0
Memory Card Readers,true_leaf,1318,0
Camera,true_leaf,1287,0
Monitor Stands,true_leaf,1270,0
Internal Power Supplies,true_leaf,1262,0
Screen Protector Foils,true_leaf,1251,0
Covers,true_leaf,1233,0
Coaxial Speakers,true_leaf,1226,0
Power Converters,true_leaf,1224,0
On-Ear Headphones,true_leaf,1224,0
USB Network Adapters,true_leaf,1217,0
DVI-HDMI Adapters,true_leaf,1205,0
Home Security Systems,true_leaf,1198,0
Car Stereo Receivers,true_leaf,1187,0
Docking Stations,true_leaf,1167,0
Keyboard Skins,true_leaf,1166,0
Hard Shell Cases,true_leaf,1144,0
Micro SD Cards,true_leaf,1135,0
Binoculars,true_leaf,1122,0
Cable Ties,true_leaf,1106,0
USB Hubs,true_leaf,1098,0
Vehicle Backup Cameras,true_leaf,1080,0
Vehicle Mounts,true_leaf,1048,0
Video Converters,true_leaf,1034,0
Computer Speakers,true_leaf,1018,0
Keyboard & Mouse Combos,true_leaf,1011,0
Selector Switch Boxes,true_leaf,1003,0
Stabilizers,true_leaf,977,0
Speaker Mounts,true_leaf,947,0
Sound Bars,true_leaf,935,0
Cat 6 Cables,true_leaf,933,0
Laptop Replacement Parts,true_leaf,918,0
Accessory Kits,true_leaf,909,0
Surveillance DVR Kits,true_leaf,875,0
Surge Protectors,true_leaf,875,0
CPU Cooling Fans,true_leaf,873,0
"Binocular, Camera & Camcorder Straps",true_leaf,856,0
Surveillance Housing & Mounting Brackets,true_leaf,825,0
Radio Antennas,true_leaf,819,0
Streaming Media Players,true_leaf,814,0
In-Dash Navigation,true_leaf,807,0
SATA Cables,true_leaf,780,0
Cable Straps,true_leaf,778,0
Surveillance Camera Cables,true_leaf,774,0
Lens Hoods,true_leaf,774,0
Labeling Tapes,true_leaf,771,0
USB-to-USB Adapters,true_leaf,767,0
Turntables,true_leaf,767,0
Two-Way Radios,true_leaf,762,0
USB Fans,true_leaf,760,0
Receivers,true_leaf,753,0
Computer Headsets,true_leaf,750,0
Switches,true_leaf,747,0
SD Cards,true_leaf,739,0
Water Cooling Systems,true_leaf,718,0
Component Subwoofers,true_leaf,704,0
On-Camera Video Lights,true_leaf,702,0
Minis,true_leaf,700,0
Clock Radios,true_leaf,675,0
