main_category,count
All Electronics,94856
Computers,92640
Camera & Photo,49703
Cell Phones & Accessories,30989
Home Audio & Theater,26249
Industrial & Scientific,11025
Car Electronics,5752
Tools & Home Improvement,5026
Office Products,4511
Amazon Home,3179
Amazon Devices,3174
Sports & Outdoors,2674
AMAZON FASHION,2568
Automotive,2419
Musical Instruments,1878
GPS & Navigation,1142
Portable Audio & Accessories,898
Toys & Games,706
Apple Products,607
Health & Personal Care,548
Video Games,282
All Beauty,214
"Arts, Crafts & Sewing",151
Baby,102
Amazon Fire TV,92
Books,91
Software,86
Pet Supplies,66
Appliances,50
Grocery,15
Buy a Kindle,13
Fire Phone,12
Movies & TV,2
Audible Audiobooks,1
Handmade,1
Gift Cards,1
Unique Finds,1
Collectible Coins,1
