store,product_count,market_share_pct,avg_price,median_price,min_price,max_price,avg_rating,total_reviews,avg_reviews_per_product,price_tier,portfolio_size
ASUS,848,15.545371219065077,828.2565818181818,638.0,28.99,5598.0,3.8128537735849055,191311,225.60259433962264,Upper-Mid,Mega
HP,763,13.987167736021998,561.2297486033519,475.0,43.99,1999.0,3.9096985583224115,191403,250.85583224115334,Mid-Range,Mega
Amazon Renewed,743,13.620531622364803,300.09254196642684,221.0,57.99,1920.82,3.9308209959623155,156922,211.2005383580081,Budget,Mega
Lenovo,699,12.813932172318973,577.8540607734806,499.99,49.99,2248.5,3.7778254649499283,143068,204.6752503576538,Mid-Range,Mega
Dell,544,9.97250229147571,698.1964705882353,575.0,43.82,2839.99,3.7215073529411766,63753,117.19301470588235,Mid-Range,Mega
acer,359,6.581118240146655,559.9451162790698,428.885,49.99,2100.0,3.745682451253482,71637,199.5459610027855,Mid-Range,Mega
Acer,239,4.381301558203483,535.5930379746835,439.99,50.97,1799.99,3.7987447698744767,111326,465.7991631799163,Mid-Range,Mega
SAMSUNG,179,3.2813932172318974,357.2978181818182,254.99,24.95,1330.8,3.7318435754189943,56909,317.92737430167597,Budget,Mega
Toshiba,165,3.0247479376718607,449.245,499.495,198.0,599.99,3.532727272727273,12182,73.83030303030303,Mid-Range,Mega
MSI,126,2.30980751604033,1360.4519047619049,1130.0,649.0,2999.99,3.8476190476190477,14585,115.75396825396825,Premium,Mega
msi,94,1.7231897341888176,1485.2868750000002,1129.4450000000002,680.0,3699.0,3.691489361702128,9959,105.94680851063829,Premium,Mega
Sony,92,1.686526122823098,,,,,3.381521739130435,3109,33.79347826086956,Unknown,Mega
Apple,76,1.393217231897342,1286.985,1199.975,949.0,1989.0,3.73157894736842,19911,261.9868421052632,Premium,Mega
Razer,46,0.843263061411549,1849.1879999999996,1769.98,1295.35,2909.6,3.6717391304347826,7780,169.1304347826087,Luxury,Large
Alienware,44,0.8065994500458294,1566.748,1492.325,899.97,2399.0,3.7409090909090903,3194,72.5909090909091,Luxury,Large
LG,41,0.7516040329972502,1162.055,1174.0,703.51,1699.99,4.146341463414634,3144,76.6829268292683,Premium,Large
Gateway,39,0.7149404216315307,364.6,364.6,364.6,364.6,3.5025641025641017,1405,36.02564102564103,Budget,Large
Microsoft,34,0.6232813932172319,900.2169696969696,887.57,199.0,2419.6,4.332352941176471,12000,352.94117647058823,Upper-Mid,Large
HEWLETT PACKARD,26,0.47662694775435377,335.225,209.95,129.0,792.0,3.376923076923077,1014,39.0,Budget,Large
Gigabyte,25,0.458295142071494,1586.0442857142857,1606.76,999.99,1999.0,3.8079999999999994,1886,75.44,Luxury,Large
RCA,23,0.4216315307057745,189.0,194.0,149.0,219.0,3.6260869565217395,5682,247.04347826086956,Budget,Large
CHUWI,21,0.384967919340055,325.514,329.0,189.69,439.99,3.7238095238095235,6295,299.76190476190476,Budget,Large
OMEN,16,0.2933088909257562,1637.1575,1574.8200000000002,1199.99,2199.0,4.11875,1633,102.0625,Luxury,Medium
jumper,16,0.2933088909257562,279.99,279.99,229.99,329.99,3.7249999999999996,5671,354.4375,Budget,Medium
Computer Upgrade King,12,0.21998166819431714,,,,,3.9,757,63.083333333333336,Unknown,Medium
Oemgenuine,9,0.16498625114573787,1129.95,1229.95,899.95,1259.95,3.9000000000000004,534,59.333333333333336,Premium,Small
Bmax,8,0.1466544454628781,349.99,349.99,349.99,349.99,3.725,1508,188.5,Budget,Small
Fusion5,8,0.1466544454628781,239.94999999999996,274.95,169.95,274.95,3.7,8817,1102.125,Budget,Small
Coolby,7,0.12832263978001834,282.3333333333333,299.0,229.0,319.0,3.971428571428571,888,126.85714285714286,Budget,Small
TECLAST,6,0.10999083409715857,295.62,295.62,295.62,295.62,3.733333333333334,634,105.66666666666667,Budget,Small
BiTECOOL,6,0.10999083409715857,249.0,249.0,199.0,299.0,3.8333333333333335,848,141.33333333333334,Budget,Small
VIZIO,5,0.09165902841429881,,,,,3.22,320,64.0,Unknown,Specialist
Compaq,5,0.09165902841429881,,,,,3.7,242,48.4,Unknown,Specialist
ALLDOCUBE,5,0.09165902841429881,312.99333333333334,299.99,299.99,339.0,4.04,827,165.4,Budget,Specialist
VGKE,4,0.07332722273143905,339.99,354.99,269.99,379.99,3.95,529,132.25,Budget,Specialist
Nextbook,4,0.07332722273143905,,,,,3.7750000000000004,740,185.0,Unknown,Specialist
HUAWEI,4,0.07332722273143905,1649.99,1649.99,1649.99,1649.99,4.15,1008,252.0,Luxury,Specialist
LANRUO,4,0.07332722273143905,629.99,629.99,629.99,629.99,4.075,386,96.5,Mid-Range,Specialist
SGIN,4,0.07332722273143905,343.32,359.99,259.98,409.99,4.325,3317,829.25,Budget,Specialist
Google,4,0.07332722273143905,576.1966666666667,618.61,449.99,659.99,3.725,851,212.75,Mid-Range,Specialist
IBM,3,0.054995417048579284,,,,,3.3666666666666667,48,16.0,Unknown,Specialist
Panasonic,3,0.054995417048579284,549.53,549.53,549.53,549.53,3.733333333333333,38,12.666666666666666,Mid-Range,Specialist
Latitude,3,0.054995417048579284,114.0,109.0,109.0,124.0,3.6333333333333333,77,25.666666666666668,Budget,Specialist
Tulasi,3,0.054995417048579284,308.995,308.995,218.99,399.0,3.9666666666666663,441,147.0,Budget,Specialist
Evoo,3,0.054995417048579284,894.36,894.36,894.36,894.36,3.733333333333333,782,260.6666666666667,Upper-Mid,Specialist
ECOHERO,3,0.054995417048579284,288.6666666666667,299.0,229.0,338.0,4.066666666666666,327,109.0,Budget,Specialist
VAIO,2,0.03666361136571952,,,,,3.85,128,64.0,Unknown,Specialist
LincPlus,2,0.03666361136571952,179.0,179.0,179.0,179.0,3.6500000000000004,386,193.0,Budget,Specialist
XAMMUE,2,0.03666361136571952,,,,,4.25,41,20.5,Unknown,Specialist
Averatec,2,0.03666361136571952,,,,,3.3,53,26.5,Unknown,Specialist
Hewlett Packard Enterprise,2,0.03666361136571952,,,,,3.3,120,60.0,Unknown,Specialist
Ruzava,2,0.03666361136571952,249.99,249.99,229.99,269.99,4.25,353,176.5,Budget,Specialist
Aorus,2,0.03666361136571952,,,,,3.3,26,13.0,Unknown,Specialist
HTOOLS,2,0.03666361136571952,,,,,3.6,169,84.5,Unknown,Specialist
6 Goodlife623,2,0.03666361136571952,709.9200000000001,709.9200000000001,629.89,789.95,4.0,94,47.0,Upper-Mid,Specialist
Tanoshi,2,0.03666361136571952,,,,,3.8,713,356.5,Unknown,Specialist
AWOW,2,0.03666361136571952,289.99,289.99,289.99,289.99,3.8,257,128.5,Budget,Specialist
ist computers,2,0.03666361136571952,1349.9850000000001,1349.9850000000001,1099.98,1599.99,4.25,67,33.5,Premium,Specialist
MAINGEAR,2,0.03666361136571952,1799.99,1799.99,1799.99,1799.99,3.9,76,38.0,Luxury,Specialist
Broage,2,0.03666361136571952,229.0,229.0,129.0,329.0,3.7,359,179.5,Budget,Specialist
Avita,2,0.03666361136571952,293.485,293.485,199.99,386.98,3.8,596,298.0,Budget,Specialist
Lenovo Group Limited,2,0.03666361136571952,305.95,305.95,305.95,305.95,3.3,112,56.0,Budget,Specialist
HP Tuners,2,0.03666361136571952,609.0,609.0,219.0,999.0,4.55,394,197.0,Mid-Range,Specialist
ZWYING,1,0.01833180568285976,439.99,439.99,439.99,439.99,4.2,119,119.0,Mid-Range,Specialist
Basrdis,1,0.01833180568285976,138.5,138.5,138.5,138.5,4.3,93,93.0,Budget,Specialist
iRULU,1,0.01833180568285976,,,,,3.1,166,166.0,Unknown,Specialist
Quality Refurbished Computers,1,0.01833180568285976,233.99,233.99,233.99,233.99,4.0,144,144.0,Budget,Specialist
delli58gb,1,0.01833180568285976,,,,,3.9,191,191.0,Unknown,Specialist
eMachines,1,0.01833180568285976,,,,,4.4,11,11.0,Unknown,Specialist
HIDevolution,1,0.01833180568285976,1789.0,1789.0,1789.0,1789.0,3.8,61,61.0,Luxury,Specialist
VASTKING,1,0.01833180568285976,,,,,3.9,11,11.0,Unknown,Specialist
2goPC,1,0.01833180568285976,,,,,3.3,30,30.0,Unknown,Specialist
Westinghouse,1,0.01833180568285976,,,,,3.0,20,20.0,Unknown,Specialist
AimCare,1,0.01833180568285976,119.0,119.0,119.0,119.0,4.4,141,141.0,Budget,Specialist
ASUSF,1,0.01833180568285976,,,,,3.5,91,91.0,Unknown,Specialist
Eluktronics,1,0.01833180568285976,2799.95,2799.95,2799.95,2799.95,4.4,111,111.0,Luxury,Specialist
Sager,1,0.01833180568285976,,,,,3.9,15,15.0,Unknown,Specialist
VUCATIMES,1,0.01833180568285976,,,,,3.6,165,165.0,Unknown,Specialist
Western Digital,1,0.01833180568285976,,,,,3.8,115,115.0,Unknown,Specialist
SYLVANIA,1,0.01833180568285976,,,,,3.3,71,71.0,Unknown,Specialist
Dana,1,0.01833180568285976,89.95,89.95,89.95,89.95,3.9,98,98.0,Budget,Specialist
TP-Link,1,0.01833180568285976,49.99,49.99,49.99,49.99,3.9,2287,2287.0,Budget,Specialist
1 ONE-NETBOOK,1,0.01833180568285976,,,,,3.9,28,28.0,Unknown,Specialist
Elitebook,1,0.01833180568285976,,,,,3.0,20,20.0,Unknown,Specialist
Porsche,1,0.01833180568285976,,,,,3.6,10,10.0,Unknown,Specialist
Hisense,1,0.01833180568285976,,,,,3.7,65,65.0,Unknown,Specialist
DYMO,1,0.01833180568285976,,,,,3.5,45,45.0,Unknown,Specialist
HYUNDAI,1,0.01833180568285976,,,,,3.9,80,80.0,Unknown,Specialist
Unknown,1,0.01833180568285976,199.0,199.0,199.0,199.0,4.5,330,330.0,Budget,Specialist
Sumsung,1,0.01833180568285976,348.0,348.0,348.0,348.0,4.2,64,64.0,Budget,Specialist
NuVision,1,0.01833180568285976,,,,,3.0,33,33.0,Unknown,Specialist
KUU,1,0.01833180568285976,,,,,3.4,37,37.0,Unknown,Specialist
Pro 12,1,0.01833180568285976,,,,,4.0,297,297.0,Unknown,Specialist
Wacom,1,0.01833180568285976,,,,,3.8,263,263.0,Unknown,Specialist
JJJJ,1,0.01833180568285976,,,,,3.9,348,348.0,Unknown,Specialist
BROAGE,1,0.01833180568285976,269.0,269.0,269.0,269.0,3.9,125,125.0,Budget,Specialist
THOMSON,1,0.01833180568285976,69.99,69.99,69.99,69.99,3.4,239,239.0,Budget,Specialist
Evolve,1,0.01833180568285976,129.94,129.94,129.94,129.94,4.0,197,197.0,Budget,Specialist
Intel,1,0.01833180568285976,350.0,350.0,350.0,350.0,4.0,21,21.0,Budget,Specialist
New-XPS-13,1,0.01833180568285976,949.0,949.0,949.0,949.0,3.5,50,50.0,Upper-Mid,Specialist
shinobee,1,0.01833180568285976,,,,,3.6,74,74.0,Unknown,Specialist
RICILAR,1,0.01833180568285976,264.99,264.99,264.99,264.99,3.9,25,25.0,Budget,Specialist
