parent_asin,title,price,average_rating,rating_number,price_segment,connectivity,form_factor,brand,popularity_score,value_score
B018JYMEFW,"KFK Headphone Adapter & Splitter, Headphone Jack Audio & Charge Connector Splitter Calling/Charger/Music/Remote Control for iP7/7 plus/8/8 Plus/X/XS/XR",,4.3,199,,Unknown,Unknown,KFK,0.3302028608849038,
B018KAR7G6,"Caeden Linea N°2 In-Ear Headphone, Faceted Carbon & Gold",,3.3,51,,Unknown,Earbuds/In-Ear,Caeden,0.2300512274961878,
B018LEUW8G,AKG K550MKII Sealed Headphone New Generation 50mm Diameter Dynamic Driver Adopted Reference Black K550MKIIBLK,,3.7,24,,Unknown,Unknown,AKG,0.2700235646482464,
B018LHMRA4,Arama Walkie Talkie Earpiece Pro D Shape Radio Earpiece Headset with PTT & Mic Compatible with 2 PIN Kenwood HYT Puxing Wouxun Lt-2288 Lt-3107 Lt-3188 Lt-3260 Lt-3268 Etc 2 Way Radios B108K01,,4.0,224,,Unknown,Unknown,Arama,0.30022847463299773,
B018PQKETW,"SMSL Audio Sap-7 black Portable Headphone Amplifier, Black",,3.8,135,,Unknown,Unknown,SMSL,0.28013728968978335,
B018Q5WJ9A,"Haafee Headphone Amplifier Portable Amps with Bass Turbo for Phones, For Car MP3s, Digital Players and computers (black)",,2.6,18,,Unknown,Unknown,Haafee,0.1600174173487039,
B018R3YBX8,SoundStrike 3.5mm Foldable Headphone Headset for Dj Headphone Mp3 Mp4 Pc Tablet sandisc Music Video and All Other Music Players (Sky Blue W/Mic),7.99,3.1,863,Budget (<$20),Unknown,Unknown,SoundStrike,0.21088316203427804,2.569131832797428
B018RIKBQY,Earphones with Microphone 592W Premium Earbuds Stereo Headphones and Noise Isolating Made for iPhone iPod iPad Samsung Galaxy LG HTC (Bronze),,3.5,209,,Unknown,Earbuds/In-Ear,Earphones,0.25021310638414135,
B018RP7X0O,MEE audio EP-X7Plus-BK-MEE Stereo Bluetooth Wireless Sports in-Ear HD Headphones,,3.7,333,,Wireless,Earbuds/In-Ear,MEE,0.27034015057468713,
B018RV7SSU,"Leme EB20A Wireless Ergonomic Bluetooth 4.0 Over Ear Headphone with Built-in Mic and 12 Hour Battery, with Noise Reduction and Echo Cancellation, Perfect Headset for Gaming and Music (Black)",,4.1,307,,Wireless,Over-Ear,Leme,0.3103135122766695,
B018SA6D72,"Pilot Electronics CA-4213W 3 Foot Retractable Headphones, White",,3.7,63,,Unknown,Unknown,Pilot,0.2700635220952729,
B018TZ29K6,"Akonier in-The-Ear Earphones,Travel/Running/Sport Listening to Music Headphones with Mic, Noise Cancelling Stereo Sound Earbuds for MP3/CD/DVD/MD Player and Other Game Systems with 3.5mm Jack (Blue)",,3.1,29,,Unknown,Earbuds/In-Ear,Akonier,0.2100286873978652,
B018U3HDM6,TENQ 2-pin Covert Acoustic Tube Earpiece Headset for Kenwood Puxing Wouxun Baofeng Two Way Radio 2pin(3 Pack),17.99,4.1,319,Budget (<$20),Unknown,Unknown,TENQ,0.31032580687575456,4.377128953771289
B018UYHBVS,"Artix Headphones with Microphone for Travel, Work, Kids, Teens, Running Sport with In-line Controller (Green)",,4.1,84,,Unknown,Unknown,Artix,0.3100850376436718,
B018WOOGN2,Spigen R12E Wireless Headphones Bluetooth Headphones w/Mic Earbuds Headset/CVC 6.0 Noise Cancelling/Bluetooth 4.1 / Sweat-Proof/HD Sound Quality/Workout Headphone/Noise Isolation Ear-tip,,3.7,305,,Wireless,Earbuds/In-Ear,Spigen,0.270311463176822,
