parent_asin,Brand_Normalized,Model Name,blair_embedding
B044623240,"Anderson, Mcdaniel and Peterson",Court 5538,"[-0.021863257082595178, -0.5501802246879932, -0.5440377369717868, 0.7297280836485593, 0.7895215555629103, 0.2921112615099264, 0.814505756369656, -0.7513090322838694, 0.23225163947196137, -0.08591275408723509]"
B057647566,Gaines Inc,Be 7816,"[-0.3586106294414737, 0.6980389369162507, -0.8931172875087241, 0.8198398921391012, -0.3639893967387877, 0.9822258887406463, -0.6539805088204023, -0.6054831214473904, 0.39811660738180144, -0.5588154888872403]"
B056122271,Li-Orozco,Discover 8790,"[-0.06540628440226426, 0.545205059043782, 0.41872097296512445, 0.0028786725566416482, -0.9024716467980598, -0.8556257339738502, -0.5717590512888024, 0.46787018249790346, -0.6752665734514127, 0.7462068093416745]"
B040627921,Gentry-Brown,Interest 4587,"[0.12941096576982725, 0.6637651855267626, -0.8273815744011948, 0.6087210167331791, 0.9967982886075668, -0.4726231851569087, 0.7877794535980363, 0.4643572024925673, 0.23187271156014821, -0.6456625911626441]"
B075441249,Morris-Thompson,Pressure 5498,"[-0.8754935022021137, 0.2675033609136679, -0.1124611240749176, 0.2997427071345007, 0.9424450900555621, -0.20472393042634418, -0.9504113778352259, -0.7886225347868128, -0.6703571520832059, 0.5605648568829456]"
B083135970,"Fields, Ross and Richardson",Art 5395,"[0.028465635897509722, -0.383366035942893, -0.29508734475179654, -0.1526248245650832, -0.17126396603090832, 0.9530105513850049, -0.2815847287955955, 0.6115219412403907, 0.04363086330604826, -0.3003059626064861]"
B066953200,Curtis-Chen,Writer 8551,"[-0.24264555779382735, 0.06887105169226015, 0.7980738732924681, -0.3141810392001114, -0.5771263496571848, -0.2250859385360997, -0.8482876470320082, -0.2564585930895078, 0.07026680962377285, 0.5945744320202804]"
B049330481,"Jackson, Houston and Brewer",Story 7681,"[-0.8893942656392804, 0.6570399498425283, 0.39332800134751067, 0.18577849678199643, -0.7633829692134342, -0.23907456641846347, -0.45122801251470346, 0.6643796865095022, -0.8336504262777047, 0.4928221249134377]"
B024234505,"Novak, Williams and Armstrong",Test 6024,"[0.27300919677360747, -0.5543258904672186, -0.7633921492256679, -0.2949568331607526, 0.7513894420223071, 0.28246792652581654, -0.38500207337728565, 0.3112177360936299, 0.7428905595399806, -0.39576428445266876]"
B096664452,"Contreras, Wade and Woodward",Economic 7401,"[-0.6242790758828032, 0.5535954162481991, 0.5997288979371149, 0.6361472319066332, 0.7147528551512083, -0.3952060272893583, 0.3625032998430733, 0.6295252639579572, 0.8908596450157813, -0.37530719785995736]"
