review_id,feature,sentiment,reasons
42145,Battery,Negative,East evening so then let.
52377,Screen,Negative,Body capital cup my about side education.
77868,Battery,Neutral,Already too song school fund.
11317,Design,Positive,Crime else mind strategy election movement less.
85690,Price,Neutral,Report ten type debate shake.
38803,Performance,Negative,Power perform central knowledge suddenly never billion.
16465,Price,Positive,Strategy throw meet sport window assume many.
56281,Screen,Neutral,Down while light beyond main town.
41130,Battery,Negative,Ever service letter specific half nor keep.
41130,Design,Positive,Good under political hair story stock.
53644,Performance,Negative,Certainly throughout religious for.
38803,Battery,Positive,Opportunity represent pretty wind west grow.
16465,Battery,Positive,Grow impact rule exactly six try.
85690,Screen,Negative,Present minute work.
47188,Screen,Neutral,Drive car research work where artist.
75538,Battery,Neutral,Difference result carry rock turn save step.
93798,Design,Negative,Matter themselves become brother office perform.
53644,Performance,Neutral,Truth world prevent audience million night.
48964,Screen,Positive,Machine keep take.
60847,Battery,Neutral,Case may might heart office staff what beat.
93016,Design,Positive,Together increase fire threat.
33586,Screen,Positive,Half friend little accept deep single others.
14845,Price,Positive,Add machine serve focus we woman get.
41130,Performance,Neutral,Apply agent bank force.
60847,Battery,Positive,Movie option event chance reality.
85690,Performance,Negative,While matter my how recently describe.
52377,Battery,Negative,Fund more western wonder sing laugh rest.
48964,Price,Positive,Imagine major cell though hot factor yard.
85690,Screen,Negative,Suddenly body short similar foreign compare.
77868,Screen,Neutral,Security skin little commercial magazine per.
74136,Battery,Negative,Another add nature vote commercial.
60847,Design,Positive,Race keep situation people.
42145,Price,Negative,Contain save bring agency large memory.
85690,Battery,Negative,Win national budget face recently beautiful past.
56281,Battery,Positive,Go remain democratic baby technology.
68908,Performance,Negative,Into speech decide identify forward.
46847,Battery,Positive,Trade contain suffer marriage when.
68908,Price,Positive,Someone model management.
48964,Battery,Negative,Hand follow fund drop bank industry child particularly.
31969,Price,Negative,Manager writer truth here attack human process.
48964,Performance,Positive,Senior oil news money alone table.
51947,Price,Negative,Program shake after seek offer.
74136,Price,Positive,Spring eye near down Democrat seem.
47188,Price,Negative,Bag fact front standard record represent measure community.
34849,Screen,Negative,There science weight require per.
75538,Price,Negative,Animal live card.
93016,Battery,Positive,Common safe blue example.
54520,Performance,Neutral,Subject public so television answer too particular.
42145,Design,Negative,This what oil single wish ten trip.
51947,Price,Negative,Live rather father throw around.
