parent_asin,price,rated,Leaf_Category,Color,Chipset Brand,Operating System,Average Battery Life (in hours),RAM_Size,RAM_Type,Storage_Size,Storage_Type,Screen_Category,Brand_Normalized,Weight_Category
B00007FV2Z,89.95,Well,Traditional Laptops,black,,Mac,,,,,,,Dana,Light
B00H7O3O1O,350.0,Well,2 in 1 Laptops,Sparkling Black,Intel,Windows 8.1,5.5 Hours,4GB,DDR3L,64GB,SSD,Compact,HP,Light
B000FOG604,129.95,Well,Traditional Laptops,Black,Intel,Windows 7,6 Hours,1GB,DDR2,80GB,HDD,Normal,HP,Heavy
B000UDISEW,140.0,Well,Traditional Laptops,Black,Intel,Windows VISTA;,3.6 Hours,1GB,DDR2,160GB,HDD,Normal,Lenovo,Heavy
B001GN5OLK,109.97,Decent,Traditional Laptops,Black,"Intel, nVIDIA",Windows 7,3 Hours,4GB,DDR3,300GB,HDD,Normal,Dell,Heavy
B001U5617K,118.0,Decent,Traditional Laptops,Grey,,Windows XP Professional,,,,,,Normal,Dell,Heavy
B002JM2CB2,249.95,Decent,Traditional Laptops,Silver,Intel,Windows XP;,,1GB,DDR2,40GB,HDD,Normal,Dell,Heavy
B002ONCDJM,792.0,Decent,Traditional Laptops,"black, silver",AMD,Windows 7 Home Premium 64-bit,4.25 Hours,3GB,DDR2,250GB,HDD,Normal,HP,Heavy
B07VC6894J,533.2,Decent,Traditional Laptops,,Intel,Windows 10,5 Hours,8GB,DDR4,128GB,SSD,Normal,Lenovo,Heavy
B002U0P0I0,135.0,Well,Traditional Laptops,,,,,,,,,,Unknown,
B002UIVK0E,139.99,Well,Traditional Laptops,Grey/black,Intel,Windows xp,,2GB,,160GB,HDD,Normal,Dell,Heavy
B002ZOCAMU,299.97,Well,Traditional Laptops,Gray,Intel,Windows 7,7 Hours,,,40GB,HDD,Compact,Toughbook,
B0035RNLWY,115.88,Well,Traditional Laptops,,Intel,Windows XP;,,512MB,DDR2,60GB,HDD,Normal,Dell,Heavy
B003LYVVAK,249.95,Well,Traditional Laptops,,,Windows 7,,,,,,Compact,HP,Light
B003VN2Q5A,139.0,Well,Traditional Laptops,Silver,Intel,Windows 7,,4GB,DDR3,320GB,HDD,Normal,Dell,Heavy
B003O7R6JY,112.89,Decent,Traditional Laptops,Silver,Intel,Windows 7,30 minutes,4GB,DDR3,160GB,HDD,Compact,Dell,Heavy
B003OGPT5S,119.0,Well,Traditional Laptops,,AMD,Windows 7,5.75 Hours,2GB,DDR3,250GB,HDD,Compact,HP,
B003V8SE4W,148.0,Well,Traditional Laptops,Silver,NVIDIA,Windows 7,,4GB,DDR3,250GB,HDD,Normal,Dell,Heavy
B0043Z7VBO,129.0,Well,Traditional Laptops,Silver and Black,Intel,Windows 7 Professional,,8GB,,120GB,SSD,Compact,HP,Heavy
B004BOJMQ4,89.0,Well,Traditional Laptops,Black,Intel,Windows 7 Professional,,2GB,,250GB,SSD,Compact,Dell,Light
B004EWEZKQ,139.95,Decent,Traditional Laptops,3D Black,ATI,Windows 7,,4GB,DDR3,320GB,HDD,Normal,Dell,Heavy
B004GAR91S,499.95,Well,2 in 1 Laptops,128gb ssd,Intel,Windows 8,,4GB,DDR3L,128GB,SSD,Compact,Dell,Heavy
B004RCOO68,158.0,Well,Traditional Laptops,,Intel,Windows 7,,4GB,DDR3,500GB,HDD,Normal,HP,Heavy
B004RCSDY2,169.95,Well,Traditional Laptops,,Intel,Windows 7,,4GB,DDR3,500GB,HDD,Compact,HP,Heavy
B004RCUIQI,129.0,Well,Traditional Laptops,,Intel,Windows 7,,4GB,DDR3,320GB,HDD,Compact,HP,Heavy
B004VC3NM0,111.0,Decent,Traditional Laptops,silver grey,Intel,Windows 7,3 Hours,2GB,DDR2,80GB,HDD,Normal,Dell,Heavy
